Precinct,DeWayne Davis_votes,Jacob Frey_votes,Exhausted_votes,Total_votes
Minneapolis W-1 P-01,238,296,56,590
Minneapolis W-1 P-02,259,265,73,597
Minneapolis W-1 P-03,260,199,178,637
Minneapolis W-1 P-04,740,587,263,1590
Minneapolis W-1 P-05,548,698,116,1362
Minneapolis W-1 P-06,750,916,126,1792
Minneapolis W-1 P-07,829,885,116,1830
Minneapolis W-1 P-08,405,375,93,873
Minneapolis W-1 P-09,694,572,117,1383
Minneapolis W-1 P-10,504,659,73,1236
Minneapolis W-1 P-11,652,332,164,1148
Minneapolis W-10 P-01,1332,583,228,2143
Minneapolis W-10 P-02,646,315,155,1116
Minneapolis W-10 P-03,682,810,98,1590
Minneapolis W-10 P-04,720,384,116,1220
Minneapolis W-10 P-05,792,477,134,1403
Minneapolis W-10 P-06,807,350,193,1350
Minneapolis W-10 P-07,443,233,148,824
Minneapolis W-10 P-08,243,178,215,636
Minneapolis W-10 P-09,598,272,215,1085
Minneapolis W-11 P-01,483,749,52,1284
Minneapolis W-11 P-02,387,1018,155,1560
Minneapolis W-11 P-03,410,629,95,1134
Minneapolis W-11 P-04,395,692,46,1133
Minneapolis W-11 P-05,347,635,60,1042
Minneapolis W-11 P-06,484,457,69,1010
Minneapolis W-11 P-07,445,656,53,1154
Minneapolis W-11 P-08,617,1107,80,1804
Minneapolis W-11 P-09,355,815,61,1231
Minneapolis W-11 P-10,405,557,74,1036
Minneapolis W-11 P-11,286,393,50,729
Minneapolis W-11 P-12,414,558,113,1085
Minneapolis W-12 P-01,1048,952,69,2069
Minneapolis W-12 P-02,839,695,74,1608
Minneapolis W-12 P-03,611,452,51,1114
Minneapolis W-12 P-04,841,664,134,1639
Minneapolis W-12 P-05,455,404,70,929
Minneapolis W-12 P-06,760,746,141,1647
Minneapolis W-12 P-07,950,888,105,1943
Minneapolis W-12 P-08,615,662,56,1333
Minneapolis W-12 P-09,499,553,67,1119
Minneapolis W-12 P-10,639,865,107,1611
Minneapolis W-12 P-11,677,783,125,1585
Minneapolis W-12 P-12,198,328,45,571
Minneapolis W-13 P-01,364,1064,57,1485
Minneapolis W-13 P-02,289,795,39,1123
Minneapolis W-13 P-03,356,774,57,1187
Minneapolis W-13 P-04,272,893,41,1206
Minneapolis W-13 P-05,252,931,39,1222
Minneapolis W-13 P-06,228,584,17,829
Minneapolis W-13 P-07,531,1137,83,1751
Minneapolis W-13 P-08,432,935,70,1437
Minneapolis W-13 P-09,363,921,49,1333
Minneapolis W-13 P-10,296,1219,36,1551
Minneapolis W-13 P-11,458,1456,57,1971
Minneapolis W-13 P-12,227,582,17,826
Minneapolis W-13 P-13,425,528,77,1030
Minneapolis W-2 P-01,277,206,88,571
Minneapolis W-2 P-02,240,126,66,432
Minneapolis W-2 P-03,409,231,155,795
Minneapolis W-2 P-04,203,105,89,397
Minneapolis W-2 P-05,628,689,200,1517
Minneapolis W-2 P-06,504,266,188,958
Minneapolis W-2 P-07,217,136,105,458
Minneapolis W-2 P-08,819,468,77,1364
Minneapolis W-2 P-09,187,222,54,463
Minneapolis W-3 P-01,637,463,120,1220
Minneapolis W-3 P-02,552,637,94,1283
Minneapolis W-3 P-03,280,222,46,548
Minneapolis W-3 P-04,278,231,59,568
Minneapolis W-3 P-05,320,703,70,1093
Minneapolis W-3 P-06,251,746,32,1029
Minneapolis W-3 P-07,809,1597,117,2523
Minneapolis W-3 P-08,437,273,86,796
Minneapolis W-3 P-09,413,205,92,710
Minneapolis W-3 P-10,404,1012,88,1504
Minneapolis W-3 P-11,279,1012,71,1362
Minneapolis W-3 P-12,272,778,51,1101
Minneapolis W-4 P-01,193,394,59,646
Minneapolis W-4 P-02,321,548,122,991
Minneapolis W-4 P-03,735,942,155,1832
Minneapolis W-4 P-04,241,300,53,594
Minneapolis W-4 P-05,196,393,88,677
Minneapolis W-4 P-06,305,341,58,704
Minneapolis W-4 P-07,357,461,138,956
Minneapolis W-4 P-08,133,254,50,437
Minneapolis W-4 P-09,36,57,5,98
Minneapolis W-5 P-01,145,237,85,467
Minneapolis W-5 P-02,279,435,133,847
Minneapolis W-5 P-03,179,302,138,619
Minneapolis W-5 P-04,309,429,114,852
Minneapolis W-5 P-05,199,309,88,596
Minneapolis W-5 P-06,193,398,90,681
Minneapolis W-5 P-07,120,200,186,506
Minneapolis W-5 P-08,149,245,156,550
Minneapolis W-5 P-09,204,166,86,456
Minneapolis W-6 P-01,226,285,55,566
Minneapolis W-6 P-02,230,442,279,951
Minneapolis W-6 P-03,149,268,1299,1716
