Precinct,Omar Fateh_votes,Jacob Frey_votes,Exhausted_votes,Total_votes
Minneapolis W-1 P-01,259,295,36,590
Minneapolis W-1 P-02,285,261,51,597
Minneapolis W-1 P-03,411,192,34,637
Minneapolis W-1 P-04,887,596,107,1590
Minneapolis W-1 P-05,578,693,91,1362
Minneapolis W-1 P-06,738,950,104,1792
Minneapolis W-1 P-07,796,931,103,1830
Minneapolis W-1 P-08,451,380,42,873
Minneapolis W-1 P-09,736,569,78,1383
Minneapolis W-1 P-10,463,687,86,1236
Minneapolis W-1 P-11,774,318,56,1148
Minneapolis W-10 P-01,1435,609,99,2143
Minneapolis W-10 P-02,776,293,47,1116
Minneapolis W-10 P-03,704,827,59,1590
Minneapolis W-10 P-04,772,385,63,1220
Minneapolis W-10 P-05,852,496,55,1403
Minneapolis W-10 P-06,968,325,57,1350
Minneapolis W-10 P-07,566,222,36,824
Minneapolis W-10 P-08,441,171,24,636
Minneapolis W-10 P-09,783,252,50,1085
Minneapolis W-11 P-01,396,807,81,1284
Minneapolis W-11 P-02,391,1046,123,1560
Minneapolis W-11 P-03,392,657,85,1134
Minneapolis W-11 P-04,320,743,70,1133
Minneapolis W-11 P-05,292,687,63,1042
Minneapolis W-11 P-06,455,484,71,1010
Minneapolis W-11 P-07,352,711,91,1154
Minneapolis W-11 P-08,554,1165,85,1804
Minneapolis W-11 P-09,320,847,64,1231
Minneapolis W-11 P-10,326,609,101,1036
Minneapolis W-11 P-11,259,418,52,729
Minneapolis W-11 P-12,413,578,94,1085
Minneapolis W-12 P-01,869,1073,127,2069
Minneapolis W-12 P-02,726,763,119,1608
Minneapolis W-12 P-03,557,489,68,1114
Minneapolis W-12 P-04,789,717,133,1639
Minneapolis W-12 P-05,430,435,64,929
Minneapolis W-12 P-06,709,825,113,1647
Minneapolis W-12 P-07,809,978,156,1943
Minneapolis W-12 P-08,523,709,101,1333
Minneapolis W-12 P-09,449,588,82,1119
Minneapolis W-12 P-10,498,948,165,1611
Minneapolis W-12 P-11,670,805,110,1585
Minneapolis W-12 P-12,199,328,44,571
Minneapolis W-13 P-01,296,1122,67,1485
Minneapolis W-13 P-02,214,841,68,1123
Minneapolis W-13 P-03,323,790,74,1187
Minneapolis W-13 P-04,217,938,51,1206
Minneapolis W-13 P-05,179,982,61,1222
Minneapolis W-13 P-06,166,619,44,829
Minneapolis W-13 P-07,445,1208,98,1751
Minneapolis W-13 P-08,352,993,92,1437
Minneapolis W-13 P-09,307,957,69,1333
Minneapolis W-13 P-10,228,1274,49,1551
Minneapolis W-13 P-11,331,1525,115,1971
Minneapolis W-13 P-12,184,606,36,826
Minneapolis W-13 P-13,394,545,91,1030
Minneapolis W-2 P-01,391,165,15,571
Minneapolis W-2 P-02,317,103,12,432
Minneapolis W-2 P-03,561,201,33,795
Minneapolis W-2 P-04,328,62,7,397
Minneapolis W-2 P-05,714,726,77,1517
Minneapolis W-2 P-06,752,178,28,958
Minneapolis W-2 P-07,330,111,17,458
Minneapolis W-2 P-08,728,534,102,1364
Minneapolis W-2 P-09,200,232,31,463
Minneapolis W-3 P-01,695,465,60,1220
Minneapolis W-3 P-02,578,635,70,1283
Minneapolis W-3 P-03,287,228,33,548
