Precinct,Jacob Frey_votes,Kate Knuth_votes,Exhausted_votes,Total_votes
MINNEAPOLIS W-1 P-01,213,218,96,527
MINNEAPOLIS W-1 P-02,881,715,253,1849
MINNEAPOLIS W-1 P-03,788,715,196,1699
MINNEAPOLIS W-1 P-04,682,674,150,1506
MINNEAPOLIS W-1 P-05,688,472,152,1312
MINNEAPOLIS W-1 P-06,495,703,187,1385
MINNEAPOLIS W-1 P-07,250,523,161,934
MINNEAPOLIS W-1 P-08,322,405,109,836
MINNEAPOLIS W-1 P-09,570,710,219,1499
MINNEAPOLIS W-1 P-10,292,213,90,595
MINNEAPOLIS W-10 P-01,336,767,135,1238
MINNEAPOLIS W-10 P-02,251,466,115,832
MINNEAPOLIS W-10 P-03A,722,479,113,1314
MINNEAPOLIS W-10 P-04,426,564,113,1103
MINNEAPOLIS W-10 P-05A,516,397,79,992
MINNEAPOLIS W-10 P-06,521,679,150,1350
MINNEAPOLIS W-10 P-07,205,478,159,842
MINNEAPOLIS W-10 P-08,215,402,111,728
MINNEAPOLIS W-10 P-09,309,604,181,1094
MINNEAPOLIS W-10 P-10,293,466,255,1014
MINNEAPOLIS W-10 P-11,326,413,99,838
MINNEAPOLIS W-11 P-01,705,446,96,1247
MINNEAPOLIS W-11 P-02,968,447,181,1596
MINNEAPOLIS W-11 P-03,633,349,156,1138
MINNEAPOLIS W-11 P-04,1013,812,178,2003
MINNEAPOLIS W-11 P-05,699,339,105,1143
MINNEAPOLIS W-11 P-06,1060,633,168,1861
MINNEAPOLIS W-11 P-07,988,486,177,1651
MINNEAPOLIS W-11 P-08,725,535,195,1455
MINNEAPOLIS W-11 P-09,315,234,106,655
MINNEAPOLIS W-11 P-10,683,292,153,1128
MINNEAPOLIS W-12 P-01,779,837,190,1806
MINNEAPOLIS W-12 P-02,763,728,170,1661
MINNEAPOLIS W-12 P-03,960,787,232,1979
MINNEAPOLIS W-12 P-04,468,400,116,984
MINNEAPOLIS W-12 P-05,630,542,126,1298
MINNEAPOLIS W-12 P-06,611,397,145,1153
MINNEAPOLIS W-12 P-07,29,1,17,47
MINNEAPOLIS W-12 P-08,293,481,76,850
MINNEAPOLIS W-12 P-09,482,535,155,1172
MINNEAPOLIS W-12 P-10,605,434,208,1247
MINNEAPOLIS W-12 P-11,514,391,153,1058
MINNEAPOLIS W-12 P-12,819,929,207,1955
MINNEAPOLIS W-12 P-13,444,314,115,873
MINNEAPOLIS W-13 P-01,728,321,127,1176
MINNEAPOLIS W-13 P-02,597,280,79,956
MINNEAPOLIS W-13 P-03,835,294,101,1230
MINNEAPOLIS W-13 P-04,713,366,132,1211
MINNEAPOLIS W-13 P-05,815,326,119,1260
MINNEAPOLIS W-13 P-06,1077,392,109,1578
MINNEAPOLIS W-13 P-07,1324,609,166,2099
MINNEAPOLIS W-13 P-08,902,396,148,1446
MINNEAPOLIS W-13 P-09,1015,602,187,1804
MINNEAPOLIS W-13 P-10,513,260,46,819
MINNEAPOLIS W-13 P-11,876,307,128,1311
MINNEAPOLIS W-13 P-12,525,241,70,836
MINNEAPOLIS W-13 P-13,915,303,84,1302
MINNEAPOLIS W-2 P-01,294,510,126,930
MINNEAPOLIS W-2 P-02,361,610,100,1071
MINNEAPOLIS W-2 P-03,258,473,184,915
MINNEAPOLIS W-2 P-04,53,199,63,315
MINNEAPOLIS W-2 P-05,538,538,178,1254
MINNEAPOLIS W-2 P-06,351,325,74,750
MINNEAPOLIS W-2 P-07,115,111,66,292
MINNEAPOLIS W-2 P-08,981,994,150,2125
MINNEAPOLIS W-2 P-09,213,269,60,542
MINNEAPOLIS W-2 P-10,100,283,187,570
MINNEAPOLIS W-2 P-11,356,558,121,1035
MINNEAPOLIS W-3 P-01,97,206,90,393
MINNEAPOLIS W-3 P-02,388,627,160,1175
MINNEAPOLIS W-3 P-03,1247,745,179,2171
MINNEAPOLIS W-3 P-04,340,306,101,747
MINNEAPOLIS W-3 P-05,513,527,146,1186
MINNEAPOLIS W-3 P-06,650,873,268,1791
MINNEAPOLIS W-3 P-07,804,388,148,1340
MINNEAPOLIS W-3 P-08,693,280,116,1089
MINNEAPOLIS W-3 P-09,1494,472,200,2166
MINNEAPOLIS W-3 P-10,226,277,95,598
MINNEAPOLIS W-3 P-11,529,239,121,889
MINNEAPOLIS W-3 P-12,343,125,81,549
MINNEAPOLIS W-3 P-13,55,206,83,344
MINNEAPOLIS W-4 P-01,439,144,129,712
MINNEAPOLIS W-4 P-02,604,229,225,1058
MINNEAPOLIS W-4 P-03,237,136,105,478
MINNEAPOLIS W-4 P-04,752,412,215,1379
MINNEAPOLIS W-4 P-05,544,262,230,1036
MINNEAPOLIS W-4 P-06,388,175,149,712
MINNEAPOLIS W-4 P-07,628,326,183,1137
MINNEAPOLIS W-4 P-08,514,320,154,988
MINNEAPOLIS W-5 P-01,570,216,156,942
MINNEAPOLIS W-5 P-02,370,141,128,639
MINNEAPOLIS W-5 P-03,324,121,103,548
MINNEAPOLIS W-5 P-04,373,154,94,621
MINNEAPOLIS W-5 P-05,358,173,75,606
MINNEAPOLIS W-5 P-06C,168,56,67,291
MINNEAPOLIS W-5 P-07,391,118,144,653
MINNEAPOLIS W-5 P-08,353,119,136,608
MINNEAPOLIS W-5 P-09,299,286,123,708
MINNEAPOLIS W-6 P-01,178,238,95,511
MINNEAPOLIS W-6 P-02,511,350,275,1136
MINNEAPOLIS W-6 P-03,585,155,891,1631
MINNEAPOLIS W-6 P-04,379,165,268,812
MINNEAPOLIS W-6 P-05,296,87,211,594
MINNEAPOLIS W-6 P-06,196,106,155,457
MINNEAPOLIS W-6 P-07,168,60,131,359
MINNEAPOLIS W-6 P-08,286,147,160,593
MINNEAPOLIS W-6 P-09,286,345,147,778
MINNEAPOLIS W-7 P-01C,428,355,53,836
MINNEAPOLIS W-7 P-02D,901,220,77,1198
MINNEAPOLIS W-7 P-03,917,566,136,1619
MINNEAPOLIS W-7 P-04D,1072,317,178,1567
MINNEAPOLIS W-7 P-05,548,357,158,1063
MINNEAPOLIS W-7 P-06,690,382,247,1319
MINNEAPOLIS W-7 P-07,542,225,62,829
MINNEAPOLIS W-7 P-08,1138,606,217,1961
MINNEAPOLIS W-7 P-09,854,594,118,1566
MINNEAPOLIS W-7 P-10,121,196,54,371
MINNEAPOLIS W-8 P-01,169,153,324,646
MINNEAPOLIS W-8 P-02,543,887,152,1582
MINNEAPOLIS W-8 P-03,280,400,108,788
MINNEAPOLIS W-8 P-04,432,414,102,948
MINNEAPOLIS W-8 P-05,912,629,152,1693
MINNEAPOLIS W-8 P-06,614,886,136,1636
MINNEAPOLIS W-8 P-07,981,1012,166,2159
MINNEAPOLIS W-8 P-08,712,977,185,1874
MINNEAPOLIS W-9 P-01,220,330,112,662
MINNEAPOLIS W-9 P-02,414,1048,198,1660
MINNEAPOLIS W-9 P-03,363,274,193,830
MINNEAPOLIS W-9 P-04,196,207,121,524
MINNEAPOLIS W-9 P-05,97,173,50,320
MINNEAPOLIS W-9 P-06,504,735,246,1485
MINNEAPOLIS W-9 P-07,271,485,76,832
MINNEAPOLIS W-9 P-08,35,20,41,96
MINNEAPOLIS W-9 P-09,197,268,109,574
