Precinct,Jazz Hampton_votes,Omar Fateh_votes,Exhausted_votes,Total_votes
Minneapolis W-1 P-01,169,237,184,590
Minneapolis W-1 P-02,168,248,181,597
Minneapolis W-1 P-03,136,376,125,637
Minneapolis W-1 P-04,399,833,358,1590
Minneapolis W-1 P-05,393,537,432,1362
Minneapolis W-1 P-06,604,661,527,1792
Minneapolis W-1 P-07,532,728,570,1830
Minneapolis W-1 P-08,211,433,229,873
Minneapolis W-1 P-09,367,692,324,1383
Minneapolis W-1 P-10,415,423,398,1236
Minneapolis W-1 P-11,230,747,171,1148
Minneapolis W-10 P-01,480,1341,322,2143
Minneapolis W-10 P-02,248,742,126,1116
Minneapolis W-10 P-03,451,656,483,1590
Minneapolis W-10 P-04,299,701,220,1220
Minneapolis W-10 P-05,381,771,251,1403
Minneapolis W-10 P-06,250,912,188,1350
Minneapolis W-10 P-07,153,536,135,824
Minneapolis W-10 P-08,87,422,127,636
Minneapolis W-10 P-09,138,766,181,1085
Minneapolis W-11 P-01,580,325,379,1284
Minneapolis W-11 P-02,629,355,576,1560
Minneapolis W-11 P-03,386,371,377,1134
Minneapolis W-11 P-04,533,261,339,1133
Minneapolis W-11 P-05,422,249,371,1042
Minneapolis W-11 P-06,431,359,220,1010
Minneapolis W-11 P-07,526,307,321,1154
Minneapolis W-11 P-08,770,463,571,1804
Minneapolis W-11 P-09,458,301,472,1231
Minneapolis W-11 P-10,522,264,250,1036
Minneapolis W-11 P-11,351,191,187,729
Minneapolis W-11 P-12,415,362,308,1085
Minneapolis W-12 P-01,684,753,632,2069
Minneapolis W-12 P-02,622,578,408,1608
Minneapolis W-12 P-03,392,460,262,1114
Minneapolis W-12 P-04,535,709,395,1639
Minneapolis W-12 P-05,336,367,226,929
Minneapolis W-12 P-06,525,641,481,1647
Minneapolis W-12 P-07,690,712,541,1943
Minneapolis W-12 P-08,598,413,322,1333
Minneapolis W-12 P-09,381,405,333,1119
Minneapolis W-12 P-10,662,416,533,1611
Minneapolis W-12 P-11,606,548,431,1585
Minneapolis W-12 P-12,185,193,193,571
Minneapolis W-13 P-01,642,263,580,1485
Minneapolis W-13 P-02,522,158,443,1123
