Precinct,Sheila Nezhad_votes,Kate Knuth_votes,Exhausted_votes,Total_votes
MINNEAPOLIS W-1 P-01,157,140,230,527
MINNEAPOLIS W-1 P-02,458,530,861,1849
MINNEAPOLIS W-1 P-03,467,560,672,1699
MINNEAPOLIS W-1 P-04,477,459,570,1506
MINNEAPOLIS W-1 P-05,316,395,601,1312
MINNEAPOLIS W-1 P-06,481,442,462,1385
MINNEAPOLIS W-1 P-07,452,230,252,934
MINNEAPOLIS W-1 P-08,287,235,314,836
MINNEAPOLIS W-1 P-09,483,445,571,1499
MINNEAPOLIS W-1 P-10,160,153,282,595
MINNEAPOLIS W-10 P-01,585,359,294,1238
MINNEAPOLIS W-10 P-02,363,247,222,832
MINNEAPOLIS W-10 P-03A,261,411,642,1314
MINNEAPOLIS W-10 P-04,417,316,370,1103
MINNEAPOLIS W-10 P-05A,252,318,422,992
MINNEAPOLIS W-10 P-06,497,412,441,1350
MINNEAPOLIS W-10 P-07,456,182,204,842
MINNEAPOLIS W-10 P-08,315,193,220,728
MINNEAPOLIS W-10 P-09,536,227,331,1094
MINNEAPOLIS W-10 P-10,453,190,371,1014
MINNEAPOLIS W-10 P-11,318,247,273,838
MINNEAPOLIS W-11 P-01,286,375,586,1247
MINNEAPOLIS W-11 P-02,203,498,895,1596
MINNEAPOLIS W-11 P-03,234,307,597,1138
MINNEAPOLIS W-11 P-04,378,768,857,2003
MINNEAPOLIS W-11 P-05,149,366,628,1143
MINNEAPOLIS W-11 P-06,280,703,878,1861
MINNEAPOLIS W-11 P-07,318,499,834,1651
MINNEAPOLIS W-11 P-08,259,498,698,1455
MINNEAPOLIS W-11 P-09,145,195,315,655
MINNEAPOLIS W-11 P-10,176,311,641,1128
MINNEAPOLIS W-12 P-01,486,625,695,1806
MINNEAPOLIS W-12 P-02,362,628,671,1661
MINNEAPOLIS W-12 P-03,428,673,878,1979
MINNEAPOLIS W-12 P-04,196,365,423,984
MINNEAPOLIS W-12 P-05,259,485,554,1298
MINNEAPOLIS W-12 P-06,242,348,563,1153
MINNEAPOLIS W-12 P-07,2,2,43,47
MINNEAPOLIS W-12 P-08,276,333,241,850
MINNEAPOLIS W-12 P-09,305,422,445,1172
MINNEAPOLIS W-12 P-10,256,360,631,1247
MINNEAPOLIS W-12 P-11,220,330,508,1058
MINNEAPOLIS W-12 P-12,579,633,743,1955
MINNEAPOLIS W-12 P-13,150,287,436,873
MINNEAPOLIS W-13 P-01,243,265,668,1176
MINNEAPOLIS W-13 P-02,110,336,510,956
MINNEAPOLIS W-13 P-03,138,359,733,1230
MINNEAPOLIS W-13 P-04,168,425,618,1211
MINNEAPOLIS W-13 P-05,134,369,757,1260
MINNEAPOLIS W-13 P-06,183,475,920,1578
MINNEAPOLIS W-13 P-07,234,747,1118,2099
MINNEAPOLIS W-13 P-08,193,435,818,1446
MINNEAPOLIS W-13 P-09,277,618,909,1804
MINNEAPOLIS W-13 P-10,122,279,418,819
MINNEAPOLIS W-13 P-11,172,363,776,1311
MINNEAPOLIS W-13 P-12,112,284,440,836
MINNEAPOLIS W-13 P-13,110,418,774,1302
MINNEAPOLIS W-2 P-01,358,294,278,930
MINNEAPOLIS W-2 P-02,329,453,289,1071
MINNEAPOLIS W-2 P-03,377,249,289,915
MINNEAPOLIS W-2 P-04,155,92,68,315
MINNEAPOLIS W-2 P-05,349,415,490,1254
MINNEAPOLIS W-2 P-06,231,247,272,750
MINNEAPOLIS W-2 P-07,98,76,118,292
MINNEAPOLIS W-2 P-08,509,836,780,2125
MINNEAPOLIS W-2 P-09,183,178,181,542
MINNEAPOLIS W-2 P-10,337,108,125,570
MINNEAPOLIS W-2 P-11,296,399,340,1035
MINNEAPOLIS W-3 P-01,178,91,124,393
MINNEAPOLIS W-3 P-02,459,341,375,1175
MINNEAPOLIS W-3 P-03,438,655,1078,2171
MINNEAPOLIS W-3 P-04,273,191,283,747
MINNEAPOLIS W-3 P-05,311,381,494,1186
MINNEAPOLIS W-3 P-06,652,515,624,1791
MINNEAPOLIS W-3 P-07,211,380,749,1340
MINNEAPOLIS W-3 P-08,177,270,642,1089
MINNEAPOLIS W-3 P-09,288,488,1390,2166
MINNEAPOLIS W-3 P-10,187,175,236,598
MINNEAPOLIS W-3 P-11,147,246,496,889
MINNEAPOLIS W-3 P-12,101,113,335,549
MINNEAPOLIS W-3 P-13,178,76,90,344
MINNEAPOLIS W-4 P-01,189,108,415,712
MINNEAPOLIS W-4 P-02,207,157,694,1058
MINNEAPOLIS W-4 P-03,145,84,249,478
MINNEAPOLIS W-4 P-04,301,319,759,1379
MINNEAPOLIS W-4 P-05,344,161,531,1036
MINNEAPOLIS W-4 P-06,198,128,386,712
MINNEAPOLIS W-4 P-07,242,292,603,1137
MINNEAPOLIS W-4 P-08,294,211,483,988
MINNEAPOLIS W-5 P-01,212,178,552,942
MINNEAPOLIS W-5 P-02,163,110,366,639
MINNEAPOLIS W-5 P-03,180,80,288,548
MINNEAPOLIS W-5 P-04,141,138,342,621
MINNEAPOLIS W-5 P-05,133,130,343,606
MINNEAPOLIS W-5 P-06C,78,32,181,291
MINNEAPOLIS W-5 P-07,108,103,442,653
MINNEAPOLIS W-5 P-08,137,92,379,608
MINNEAPOLIS W-5 P-09,209,179,320,708
MINNEAPOLIS W-6 P-01,167,136,208,511
MINNEAPOLIS W-6 P-02,257,203,676,1136
MINNEAPOLIS W-6 P-03,155,87,1389,1631
MINNEAPOLIS W-6 P-04,134,120,558,812
MINNEAPOLIS W-6 P-05,102,38,454,594
MINNEAPOLIS W-6 P-06,112,55,290,457
MINNEAPOLIS W-6 P-07,68,39,252,359
MINNEAPOLIS W-6 P-08,142,102,349,593
MINNEAPOLIS W-6 P-09,305,168,305,778
MINNEAPOLIS W-7 P-01C,117,409,310,836
MINNEAPOLIS W-7 P-02D,102,271,825,1198
MINNEAPOLIS W-7 P-03,346,448,825,1619
MINNEAPOLIS W-7 P-04D,174,354,1039,1567
MINNEAPOLIS W-7 P-05,321,224,518,1063
MINNEAPOLIS W-7 P-06,327,263,729,1319
MINNEAPOLIS W-7 P-07,88,283,458,829
MINNEAPOLIS W-7 P-08,424,480,1057,1961
MINNEAPOLIS W-7 P-09,377,452,737,1566
MINNEAPOLIS W-7 P-10,186,85,100,371
MINNEAPOLIS W-8 P-01,132,75,439,646
MINNEAPOLIS W-8 P-02,692,455,435,1582
MINNEAPOLIS W-8 P-03,332,200,256,788
MINNEAPOLIS W-8 P-04,383,244,321,948
MINNEAPOLIS W-8 P-05,424,518,751,1693
MINNEAPOLIS W-8 P-06,558,586,492,1636
MINNEAPOLIS W-8 P-07,566,854,739,2159
MINNEAPOLIS W-8 P-08,637,617,620,1874
MINNEAPOLIS W-9 P-01,315,141,206,662
MINNEAPOLIS W-9 P-02,819,474,367,1660
MINNEAPOLIS W-9 P-03,288,129,413,830
MINNEAPOLIS W-9 P-04,144,132,248,524
MINNEAPOLIS W-9 P-05,155,71,94,320
MINNEAPOLIS W-9 P-06,607,378,500,1485
MINNEAPOLIS W-9 P-07,360,245,227,832
MINNEAPOLIS W-9 P-08,22,13,61,96
MINNEAPOLIS W-9 P-09,272,92,210,574
