Precinct,DeWayne Davis_votes,Jazz Hampton_votes,Exhausted_votes,Total_votes
Minneapolis W-1 P-01,227,154,209,590
Minneapolis W-1 P-02,236,170,191,597
Minneapolis W-1 P-03,234,139,264,637
Minneapolis W-1 P-04,660,415,515,1590
Minneapolis W-1 P-05,497,402,463,1362
Minneapolis W-1 P-06,720,520,552,1792
Minneapolis W-1 P-07,786,448,596,1830
Minneapolis W-1 P-08,364,217,292,873
Minneapolis W-1 P-09,598,391,394,1383
Minneapolis W-1 P-10,512,313,411,1236
Minneapolis W-1 P-11,548,345,255,1148
Minneapolis W-10 P-01,1179,516,448,2143
Minneapolis W-10 P-02,534,362,220,1116
Minneapolis W-10 P-03,632,442,516,1590
Minneapolis W-10 P-04,606,340,274,1220
Minneapolis W-10 P-05,691,402,310,1403
Minneapolis W-10 P-06,648,385,317,1350
Minneapolis W-10 P-07,412,174,238,824
Minneapolis W-10 P-08,215,119,302,636
Minneapolis W-10 P-09,524,235,326,1085
Minneapolis W-11 P-01,403,501,380,1284
Minneapolis W-11 P-02,407,538,615,1560
Minneapolis W-11 P-03,399,346,389,1134
Minneapolis W-11 P-04,309,479,345,1133
Minneapolis W-11 P-05,307,383,352,1042
Minneapolis W-11 P-06,416,371,223,1010
Minneapolis W-11 P-07,414,414,326,1154
Minneapolis W-11 P-08,540,700,564,1804
Minneapolis W-11 P-09,353,416,462,1231
Minneapolis W-11 P-10,322,468,246,1036
Minneapolis W-11 P-11,236,307,186,729
Minneapolis W-11 P-12,355,381,349,1085
Minneapolis W-12 P-01,1099,422,548,2069
Minneapolis W-12 P-02,807,439,362,1608
Minneapolis W-12 P-03,563,302,249,1114
Minneapolis W-12 P-04,781,450,408,1639
Minneapolis W-12 P-05,389,313,227,929
Minneapolis W-12 P-06,780,358,509,1647
Minneapolis W-12 P-07,918,496,529,1943
Minneapolis W-12 P-08,559,471,303,1333
Minneapolis W-12 P-09,504,295,320,1119
Minneapolis W-12 P-10,604,518,489,1611
Minneapolis W-12 P-11,589,564,432,1585
Minneapolis W-12 P-12,178,198,195,571
Minneapolis W-13 P-01,324,593,568,1485
Minneapolis W-13 P-02,263,433,427,1123
Minneapolis W-13 P-03,316,451,420,1187
Minneapolis W-13 P-04,262,438,506,1206
Minneapolis W-13 P-05,287,406,529,1222
Minneapolis W-13 P-06,252,274,303,829
Minneapolis W-13 P-07,485,642,624,1751
Minneapolis W-13 P-08,452,440,545,1437
Minneapolis W-13 P-09,391,474,468,1333
Minneapolis W-13 P-10,352,480,719,1551
Minneapolis W-13 P-11,472,703,796,1971
Minneapolis W-13 P-12,205,305,316,826
Minneapolis W-13 P-13,368,345,317,1030
Minneapolis W-2 P-01,276,125,170,571
Minneapolis W-2 P-02,216,106,110,432
Minneapolis W-2 P-03,350,206,239,795
Minneapolis W-2 P-04,188,92,117,397
Minneapolis W-2 P-05,670,372,475,1517
Minneapolis W-2 P-06,462,220,276,958
Minneapolis W-2 P-07,195,120,143,458
Minneapolis W-2 P-08,800,253,311,1364
Minneapolis W-2 P-09,188,135,140,463
Minneapolis W-3 P-01,552,370,298,1220
Minneapolis W-3 P-02,512,356,415,1283
Minneapolis W-3 P-03,230,164,154,548
Minneapolis W-3 P-04,252,159,157,568
Minneapolis W-3 P-05,324,363,406,1093
Minneapolis W-3 P-06,270,336,423,1029
Minneapolis W-3 P-07,827,658,1038,2523
Minneapolis W-3 P-08,383,203,210,796
Minneapolis W-3 P-09,361,196,153,710
Minneapolis W-3 P-10,417,450,637,1504
Minneapolis W-3 P-11,297,350,715,1362
Minneapolis W-3 P-12,283,321,497,1101
Minneapolis W-4 P-01,228,172,246,646
Minneapolis W-4 P-02,337,252,402,991
Minneapolis W-4 P-03,737,477,618,1832
Minneapolis W-4 P-04,224,154,216,594
Minneapolis W-4 P-05,215,136,326,677
Minneapolis W-4 P-06,291,187,226,704
Minneapolis W-4 P-07,376,217,363,956
Minneapolis W-4 P-08,165,100,172,437
Minneapolis W-4 P-09,36,30,32,98
Minneapolis W-5 P-01,149,125,193,467
Minneapolis W-5 P-02,284,180,383,847
Minneapolis W-5 P-03,182,121,316,619
Minneapolis W-5 P-04,331,213,308,852
Minneapolis W-5 P-05,220,137,239,596
Minneapolis W-5 P-06,214,156,311,681
Minneapolis W-5 P-07,132,83,291,506
Minneapolis W-5 P-08,170,98,282,550
Minneapolis W-5 P-09,170,165,121,456
Minneapolis W-6 P-01,207,173,186,566
Minneapolis W-6 P-02,223,166,562,951
Minneapolis W-6 P-03,146,91,1479,1716
Minneapolis W-6 P-04,284,135,265,684
Minneapolis W-6 P-05,101,59,508,668
Minneapolis W-6 P-06,121,70,371,562
Minneapolis W-6 P-07,144,56,700,900
Minneapolis W-6 P-08,227,85,195,507
Minneapolis W-6 P-09,314,107,822,1243
Minneapolis W-7 P-01,384,251,305,940
Minneapolis W-7 P-02,234,248,707,1189
Minneapolis W-7 P-03,573,399,665,1637
Minneapolis W-7 P-04,436,416,860,1712
Minneapolis W-7 P-05,423,229,448,1100
Minneapolis W-7 P-06,279,233,227,739
Minneapolis W-7 P-07,237,239,355,831
Minneapolis W-7 P-08,734,576,732,2042
Minneapolis W-7 P-09,545,415,579,1539
Minneapolis W-7 P-10,184,99,115,398
Minneapolis W-7 P-11,81,81,118,280
Minneapolis W-7 P-12,283,278,317,878
Minneapolis W-8 P-01,140,116,491,747
Minneapolis W-8 P-02,878,499,316,1693
Minneapolis W-8 P-03,786,557,321,1664
Minneapolis W-8 P-04,901,919,481,2301
Minneapolis W-8 P-05,240,132,199,571
Minneapolis W-8 P-06,207,99,89,395
Minneapolis W-8 P-07,492,351,235,1078
Minneapolis W-8 P-08,491,362,317,1170
Minneapolis W-8 P-09,321,267,184,772
Minneapolis W-8 P-10,484,305,162,951
Minneapolis W-8 P-11,421,319,194,934
Minneapolis W-9 P-01,190,61,65,316
Minneapolis W-9 P-02,975,400,295,1670
Minneapolis W-9 P-03,305,135,481,921
Minneapolis W-9 P-04,201,101,207,509
Minneapolis W-9 P-05,349,101,110,560
Minneapolis W-9 P-06,696,322,409,1427
Minneapolis W-9 P-07,439,212,192,843
Minneapolis W-9 P-08,488,259,248,995
Minneapolis W-9 P-09,623,274,279,1176
