Precinct,Jacob Frey_votes,Raymond Dehn_votes,Exhausted_votes,Total_votes
MINNEAPOLIS W-1 P-01,193,111,107,411
MINNEAPOLIS W-1 P-02,591,379,334,1304
MINNEAPOLIS W-1 P-03,615,414,255,1284
MINNEAPOLIS W-1 P-04,488,426,237,1151
MINNEAPOLIS W-1 P-05,477,276,202,955
MINNEAPOLIS W-1 P-06,465,339,256,1060
MINNEAPOLIS W-1 P-07,175,318,108,601
MINNEAPOLIS W-1 P-08,215,257,142,614
MINNEAPOLIS W-1 P-09,399,455,213,1067
MINNEAPOLIS W-1 P-10,214,111,92,417
MINNEAPOLIS W-10 P-01,292,454,172,918
MINNEAPOLIS W-10 P-02,430,396,171,997
MINNEAPOLIS W-10 P-03A,422,247,157,826
MINNEAPOLIS W-10 P-04,310,306,146,762
MINNEAPOLIS W-10 P-05A,353,222,195,770
MINNEAPOLIS W-10 P-06,414,385,190,989
MINNEAPOLIS W-10 P-07,180,380,100,660
MINNEAPOLIS W-10 P-08,166,285,112,563
MINNEAPOLIS W-10 P-09,236,410,153,799
MINNEAPOLIS W-10 P-10,191,285,151,627
MINNEAPOLIS W-11 P-01,480,281,190,951
MINNEAPOLIS W-11 P-02,642,230,275,1147
MINNEAPOLIS W-11 P-03,348,180,180,708
MINNEAPOLIS W-11 P-04,783,473,260,1516
MINNEAPOLIS W-11 P-05,436,189,151,776
MINNEAPOLIS W-11 P-06,683,367,242,1292
MINNEAPOLIS W-11 P-07,595,233,288,1116
MINNEAPOLIS W-11 P-08,463,234,221,918
MINNEAPOLIS W-11 P-09,207,102,83,392
MINNEAPOLIS W-11 P-10,391,201,184,776
MINNEAPOLIS W-12 P-01,515,531,233,1279
MINNEAPOLIS W-12 P-02,498,452,203,1153
MINNEAPOLIS W-12 P-03,612,449,265,1326
MINNEAPOLIS W-12 P-04,272,259,125,656
MINNEAPOLIS W-12 P-05,442,311,187,940
MINNEAPOLIS W-12 P-06,367,215,135,717
MINNEAPOLIS W-12 P-07,7,10,24,41
MINNEAPOLIS W-12 P-08,205,293,83,581
MINNEAPOLIS W-12 P-09,339,293,173,805
MINNEAPOLIS W-12 P-10,390,176,165,731
MINNEAPOLIS W-12 P-11,306,219,118,643
MINNEAPOLIS W-12 P-12,495,517,253,1265
MINNEAPOLIS W-12 P-13,287,169,111,567
MINNEAPOLIS W-13 P-01,399,144,149,692
MINNEAPOLIS W-13 P-02,359,152,127,638
MINNEAPOLIS W-13 P-03,536,189,138,863
MINNEAPOLIS W-13 P-04,471,194,143,808
MINNEAPOLIS W-13 P-05,491,209,150,850
MINNEAPOLIS W-13 P-06,768,241,163,1172
MINNEAPOLIS W-13 P-07,901,320,248,1469
MINNEAPOLIS W-13 P-08,641,202,177,1020
MINNEAPOLIS W-13 P-09,721,244,233,1198
MINNEAPOLIS W-13 P-10,355,154,85,594
MINNEAPOLIS W-13 P-11,575,171,147,893
MINNEAPOLIS W-13 P-12,374,116,101,591
MINNEAPOLIS W-13 P-13,592,197,165,954
MINNEAPOLIS W-2 P-01,197,330,142,669
MINNEAPOLIS W-2 P-02,242,431,130,803
MINNEAPOLIS W-2 P-03,158,306,118,582
MINNEAPOLIS W-2 P-04,74,176,49,299
MINNEAPOLIS W-2 P-05,261,359,135,755
MINNEAPOLIS W-2 P-06,230,239,97,566
MINNEAPOLIS W-2 P-07,72,155,51,278
MINNEAPOLIS W-2 P-08,597,590,261,1448
MINNEAPOLIS W-2 P-09,158,294,64,516
MINNEAPOLIS W-2 P-10,112,203,74,389
MINNEAPOLIS W-2 P-11,254,353,122,729
MINNEAPOLIS W-3 P-01,166,344,111,621
MINNEAPOLIS W-3 P-02,374,457,177,1008
MINNEAPOLIS W-3 P-03,826,439,251,1516
MINNEAPOLIS W-3 P-04,266,173,118,557
MINNEAPOLIS W-3 P-05,372,288,162,822
MINNEAPOLIS W-3 P-06,541,538,302,1381
MINNEAPOLIS W-3 P-07,573,198,170,941
MINNEAPOLIS W-3 P-08,461,137,106,704
MINNEAPOLIS W-3 P-09,661,179,146,986
MINNEAPOLIS W-3 P-10,166,169,90,425
MINNEAPOLIS W-3 P-11,403,112,79,594
MINNEAPOLIS W-3 P-12,180,77,65,322
MINNEAPOLIS W-4 P-01,179,124,229,532
MINNEAPOLIS W-4 P-02,267,144,293,704
MINNEAPOLIS W-4 P-03,119,85,157,361
MINNEAPOLIS W-4 P-04,378,291,323,992
MINNEAPOLIS W-4 P-05,250,170,325,745
MINNEAPOLIS W-4 P-06,210,120,206,536
