Precinct,Jacob Frey_votes,Sheila Nezhad_votes,Exhausted_votes,Total_votes
MINNEAPOLIS W-1 P-01,225,208,94,527
MINNEAPOLIS W-1 P-02,939,659,251,1849
MINNEAPOLIS W-1 P-03,833,650,216,1699
MINNEAPOLIS W-1 P-04,706,642,158,1506
MINNEAPOLIS W-1 P-05,721,405,186,1312
MINNEAPOLIS W-1 P-06,533,665,187,1385
MINNEAPOLIS W-1 P-07,268,555,111,934
MINNEAPOLIS W-1 P-08,355,377,104,836
MINNEAPOLIS W-1 P-09,612,650,237,1499
MINNEAPOLIS W-1 P-10,307,198,90,595
MINNEAPOLIS W-10 P-01,365,754,119,1238
MINNEAPOLIS W-10 P-02,269,467,96,832
MINNEAPOLIS W-10 P-03A,777,386,151,1314
MINNEAPOLIS W-10 P-04,445,552,106,1103
MINNEAPOLIS W-10 P-05A,554,369,69,992
MINNEAPOLIS W-10 P-06,560,671,119,1350
MINNEAPOLIS W-10 P-07,213,542,87,842
MINNEAPOLIS W-10 P-08,229,408,91,728
MINNEAPOLIS W-10 P-09,310,656,128,1094
MINNEAPOLIS W-10 P-10,303,507,204,1014
MINNEAPOLIS W-10 P-11,340,431,67,838
MINNEAPOLIS W-11 P-01,748,374,125,1247
MINNEAPOLIS W-11 P-02,1043,333,220,1596
MINNEAPOLIS W-11 P-03,657,311,170,1138
MINNEAPOLIS W-11 P-04,1120,640,243,2003
MINNEAPOLIS W-11 P-05,747,251,145,1143
MINNEAPOLIS W-11 P-06,1151,503,207,1861
MINNEAPOLIS W-11 P-07,1035,420,196,1651
MINNEAPOLIS W-11 P-08,791,415,249,1455
MINNEAPOLIS W-11 P-09,334,211,110,655
MINNEAPOLIS W-11 P-10,709,258,161,1128
MINNEAPOLIS W-12 P-01,852,730,224,1806
MINNEAPOLIS W-12 P-02,848,605,208,1661
MINNEAPOLIS W-12 P-03,1053,674,252,1979
MINNEAPOLIS W-12 P-04,508,329,147,984
MINNEAPOLIS W-12 P-05,695,443,160,1298
MINNEAPOLIS W-12 P-06,649,331,173,1153
MINNEAPOLIS W-12 P-07,29,2,16,47
MINNEAPOLIS W-12 P-08,323,424,103,850
MINNEAPOLIS W-12 P-09,514,477,181,1172
MINNEAPOLIS W-12 P-10,653,354,240,1247
MINNEAPOLIS W-12 P-11,541,350,167,1058
