Precinct,Jazz Hampton_votes,Jacob Frey_votes,Exhausted_votes,Total_votes
Minneapolis W-1 P-01,239,297,54,590
Minneapolis W-1 P-02,285,251,61,597
Minneapolis W-1 P-03,240,197,200,637
Minneapolis W-1 P-04,731,568,291,1590
Minneapolis W-1 P-05,550,686,126,1362
Minneapolis W-1 P-06,768,884,140,1792
Minneapolis W-1 P-07,791,913,126,1830
Minneapolis W-1 P-08,401,364,108,873
Minneapolis W-1 P-09,689,537,157,1383
Minneapolis W-1 P-10,479,664,93,1236
Minneapolis W-1 P-11,635,320,193,1148
Minneapolis W-10 P-01,1278,583,282,2143
Minneapolis W-10 P-02,630,308,178,1116
Minneapolis W-10 P-03,659,811,120,1590
Minneapolis W-10 P-04,699,381,140,1220
Minneapolis W-10 P-05,771,474,158,1403
Minneapolis W-10 P-06,803,337,210,1350
Minneapolis W-10 P-07,417,240,167,824
Minneapolis W-10 P-08,237,175,224,636
Minneapolis W-10 P-09,560,278,247,1085
Minneapolis W-11 P-01,528,705,51,1284
Minneapolis W-11 P-02,459,961,140,1560
Minneapolis W-11 P-03,420,606,108,1134
Minneapolis W-11 P-04,467,640,26,1133
Minneapolis W-11 P-05,398,601,43,1042
Minneapolis W-11 P-06,516,440,54,1010
Minneapolis W-11 P-07,463,646,45,1154
Minneapolis W-11 P-08,711,1029,64,1804
Minneapolis W-11 P-09,388,763,80,1231
Minneapolis W-11 P-10,506,482,48,1036
Minneapolis W-11 P-11,347,340,42,729
Minneapolis W-11 P-12,447,539,99,1085
Minneapolis W-12 P-01,963,972,134,2069
Minneapolis W-12 P-02,830,695,83,1608
Minneapolis W-12 P-03,594,447,73,1114
Minneapolis W-12 P-04,866,638,135,1639
Minneapolis W-12 P-05,467,391,71,929
Minneapolis W-12 P-06,691,783,173,1647
Minneapolis W-12 P-07,899,900,144,1943
Minneapolis W-12 P-08,650,615,68,1333
Minneapolis W-12 P-09,486,556,77,1119
Minneapolis W-12 P-10,684,828,99,1611
Minneapolis W-12 P-11,754,722,109,1585
Minneapolis W-12 P-12,222,304,45,571
Minneapolis W-13 P-01,439,1001,45,1485
Minneapolis W-13 P-02,361,738,24,1123
Minneapolis W-13 P-03,400,731,56,1187
Minneapolis W-13 P-04,327,847,32,1206
Minneapolis W-13 P-05,298,896,28,1222
Minneapolis W-13 P-06,243,566,20,829
Minneapolis W-13 P-07,604,1075,72,1751
Minneapolis W-13 P-08,453,908,76,1437
Minneapolis W-13 P-09,431,863,39,1333
Minneapolis W-13 P-10,358,1164,29,1551
Minneapolis W-13 P-11,545,1389,37,1971
Minneapolis W-13 P-12,257,548,21,826
Minneapolis W-13 P-13,451,505,74,1030
Minneapolis W-2 P-01,277,197,97,571
Minneapolis W-2 P-02,227,124,81,432
Minneapolis W-2 P-03,385,232,178,795
Minneapolis W-2 P-04,201,103,93,397
