"county","cousub23","tract","CountyName","MCDName","pop20","afact"
"County code","County subdivision (2020)","Tract","County name","County subdivision / MCD name","Total population (2020 Census)","cousub23-to-tract allocation factor"
"27001","00460","7703.00","Aitkin MN","Aitkin city, Aitkin MN",2168,1 
"27001","00478","7701.00","Aitkin MN","Aitkin township, Aitkin MN",4,0.0044 
"27001","00478","7702.00","Aitkin MN","Aitkin township, Aitkin MN",6,0.0066 
"27001","00478","7703.00","Aitkin MN","Aitkin township, Aitkin MN",881,0.9681 
"27001","00478","7905.03","Aitkin MN","Aitkin township, Aitkin MN",19,0.0209 
"27001","03358","7701.00","Aitkin MN","Ball Bluff township, Aitkin MN",244,0.8971 
"27001","03358","7702.00","Aitkin MN","Ball Bluff township, Aitkin MN",28,0.1029 
"27001","03412","7701.00","Aitkin MN","Balsam township, Aitkin MN",19,0.5938 
"27001","03412","7704.01","Aitkin MN","Balsam township, Aitkin MN",13,0.4063 
"27001","04384","7704.02","Aitkin MN","Beaver township, Aitkin MN",62,1 
"27001","11620","7704.01","Aitkin MN","Clark township, Aitkin MN",72,0.6207 
"27001","11620","7704.02","Aitkin MN","Clark township, Aitkin MN",44,0.3793 
"27001","13330","7701.00","Aitkin MN","Cornish township, Aitkin MN",45,1 
"27001","14903","7701.00","Aitkin MN","Davidson UT, Aitkin MN",31,0.7381 
"27001","14903","7704.02","Aitkin MN","Davidson UT, Aitkin MN",11,0.2619 
"27001","20654","7703.00","Aitkin MN","Farm Island township, Aitkin MN",169,0.1698 
"27001","20654","7905.03","Aitkin MN","Farm Island township, Aitkin MN",786,0.7899 
"27001","20654","7905.04","Aitkin MN","Farm Island township, Aitkin MN",40,0.0402 
"27001","21230","7701.00","Aitkin MN","Fleming township, Aitkin MN",329,1 
"27001","23930","7701.00","Aitkin MN","Glen township, Aitkin MN",2,0.0046 
"27001","23930","7704.02","Aitkin MN","Glen township, Aitkin MN",30,0.0694 
"27001","23930","7905.01","Aitkin MN","Glen township, Aitkin MN",400,0.9259 
"27001","27602","7701.00","Aitkin MN","Haugen township, Aitkin MN",11,0.0714 
"27001","27602","7704.01","Aitkin MN","Haugen township, Aitkin MN",143,0.9286 
"27001","28052","7905.03","Aitkin MN","Hazelton township, Aitkin MN",527,0.6654 
"27001","28052","7905.04","Aitkin MN","Hazelton township, Aitkin MN",265,0.3346 
"27001","29096","7702.00","Aitkin MN","Hill City city, Aitkin MN",613,1 
"27001","29114","7702.00","Aitkin MN","Hill Lake township, Aitkin MN",435,1 
"27001","30788","7905.01","Aitkin MN","Idun township, Aitkin MN",222,1 
"27001","31958","7701.00","Aitkin MN","Jevne township, Aitkin MN",321,0.9611 
"27001","31958","7704.02","Aitkin MN","Jevne township, Aitkin MN",13,0.0389 
"27001","31966","7905.01","Aitkin MN","Jewett UT, Aitkin MN",45,1 
"27001","33218","7701.00","Aitkin MN","Kimberly township, Aitkin MN",171,0.9096 
"27001","33218","7704.02","Aitkin MN","Kimberly township, Aitkin MN",15,0.0798 
"27001","33218","7905.01","Aitkin MN","Kimberly township, Aitkin MN",2,0.0106 
"27001","34982","7905.01","Aitkin MN","Lakeside township, Aitkin MN",504,1 
"27001","36152","7704.02","Aitkin MN","Lee township, Aitkin MN",13,0.3421 
"27001","36152","7905.01","Aitkin MN","Lee township, Aitkin MN",25,0.6579 
"27001","36908","7701.00","Aitkin MN","Libby township, Aitkin MN",41,0.9535 
"27001","36908","7702.00","Aitkin MN","Libby township, Aitkin MN",2,0.0465 
"27001","37844","7701.00","Aitkin MN","Logan township, Aitkin MN",13,0.0703 
"27001","37844","7702.00","Aitkin MN","Logan township, Aitkin MN",172,0.9297 
"27001","38996","7905.01","Aitkin MN","McGrath city, Aitkin MN",41,1 
"27001","39014","7701.00","Aitkin MN","McGregor city, Aitkin MN",24,0.0625 
"27001","39014","7704.02","Aitkin MN","McGregor city, Aitkin MN",360,0.9375 
"27001","39032","7704.01","Aitkin MN","McGregor township, Aitkin MN",45,0.4688 
"27001","39032","7704.02","Aitkin MN","McGregor township, Aitkin MN",51,0.5313 
"27001","39212","7702.00","Aitkin MN","Macville township, Aitkin MN",170,1 
"27001","39590","7905.01","Aitkin MN","Malmo township, Aitkin MN",353,1 
"27001","42300","7704.02","Aitkin MN","Millward township, Aitkin MN",60,1 
"27001","44278","7701.00","Aitkin MN","Morrison township, Aitkin MN",162,0.9 
"27001","44278","7702.00","Aitkin MN","Morrison township, Aitkin MN",18,0.1 
"27001","46546","7905.03","Aitkin MN","Nordland township, Aitkin MN",417,0.4242 
"27001","46546","7905.04","Aitkin MN","Nordland township, Aitkin MN",566,0.5758 
"27001","46890","7701.00","Aitkin MN","Northeast Aitkin UT, Aitkin MN",8,1 
"27001","47342","7701.00","Aitkin MN","Northwest Aitkin UT, Aitkin MN",3,0.0085 
"27001","47342","7702.00","Aitkin MN","Northwest Aitkin UT, Aitkin MN",352,0.9915 
"27001","49498","7702.00","Aitkin MN","Palisade city, Aitkin MN",162,1 
"27001","51694","7704.02","Aitkin MN","Pliny township, Aitkin MN",46,0.3966 
"27001","51694","7905.01","Aitkin MN","Pliny township, Aitkin MN",70,0.6034 
"27001","54106","7704.02","Aitkin MN","Rice River township, Aitkin MN",88,0.7333 
"27001","54106","7905.01","Aitkin MN","Rice River township, Aitkin MN",32,0.2667 
"27001","58270","7704.02","Aitkin MN","Salo township, Aitkin MN",85,1 
"27001","59134","7905.01","Aitkin MN","Seavey township, Aitkin MN",64,1 
"27001","59368","7701.00","Aitkin MN","Shamrock township, Aitkin MN",242,0.1992 
"27001","59368","7704.01","Aitkin MN","Shamrock township, Aitkin MN",973,0.8008 
"27001","61546","7704.02","Aitkin MN","Spalding township, Aitkin MN",320,1 
"27001","61654","7701.00","Aitkin MN","Spencer township, Aitkin MN",193,0.3697 
"27001","61654","7703.00","Aitkin MN","Spencer township, Aitkin MN",80,0.1533 
"27001","61654","7905.04","Aitkin MN","Spencer township, Aitkin MN",249,0.477 
"27001","64156","7704.01","Aitkin MN","Tamarack city, Aitkin MN",62,1 
"27001","65722","7701.00","Aitkin MN","Turner township, Aitkin MN",137,1 
"27001","66748","7701.00","Aitkin MN","Verdon township, Aitkin MN",34,0.85 
"27001","66748","7702.00","Aitkin MN","Verdon township, Aitkin MN",6,0.15 
"27001","67540","7704.02","Aitkin MN","Wagner township, Aitkin MN",328,0.9791 
"27001","67540","7905.01","Aitkin MN","Wagner township, Aitkin MN",7,0.0209 
"27001","68692","7702.00","Aitkin MN","Waukenabo township, Aitkin MN",312,1 
"27001","68872","7905.04","Aitkin MN","Wealthwood township, Aitkin MN",251,1 
"27001","70132","7704.02","Aitkin MN","White Pine township, Aitkin MN",15,0.3947 
"27001","70132","7905.01","Aitkin MN","White Pine township, Aitkin MN",23,0.6053 
"27001","70384","7704.02","Aitkin MN","Williams township, Aitkin MN",21,0.175 
"27001","70384","7905.01","Aitkin MN","Williams township, Aitkin MN",99,0.825 
"27001","71716","7701.00","Aitkin MN","Workman township, Aitkin MN",210,0.9906 
"27001","71716","7702.00","Aitkin MN","Workman township, Aitkin MN",2,0.0094 
"27003","01486","0502.08","Anoka MN","Andover city, Anoka MN",3191,0.0979 
"27003","01486","0502.17","Anoka MN","Andover city, Anoka MN",3499,0.1073 
"27003","01486","0502.18","Anoka MN","Andover city, Anoka MN",3220,0.0988 
"27003","01486","0502.19","Anoka MN","Andover city, Anoka MN",2947,0.0904 
"27003","01486","0502.20","Anoka MN","Andover city, Anoka MN",6827,0.2094 
"27003","01486","0502.22","Anoka MN","Andover city, Anoka MN",5581,0.1712 
"27003","01486","0502.38","Anoka MN","Andover city, Anoka MN",4485,0.1376 
"27003","01486","0502.39","Anoka MN","Andover city, Anoka MN",2851,0.0875 
"27003","01720","0504.01","Anoka MN","Anoka city, Anoka MN",3012,0.1681 
"27003","01720","0504.02","Anoka MN","Anoka city, Anoka MN",3585,0.2 
"27003","01720","0505.01","Anoka MN","Anoka city, Anoka MN",3184,0.1777 
"27003","01720","0505.04","Anoka MN","Anoka city, Anoka MN",2547,0.1421 
"27003","01720","0505.05","Anoka MN","Anoka city, Anoka MN",5593,0.3121 
"27003","05554","0501.08","Anoka MN","Bethel city, Anoka MN",476,1 
"27003","06382","0508.07","Anoka MN","Blaine city, Anoka MN",4303,0.0613 
"27003","06382","0508.08","Anoka MN","Blaine city, Anoka MN",2193,0.0312 
"27003","06382","0508.10","Anoka MN","Blaine city, Anoka MN",4745,0.0676 
"27003","06382","0508.11","Anoka MN","Blaine city, Anoka MN",3008,0.0428 
"27003","06382","0508.16","Anoka MN","Blaine city, Anoka MN",6769,0.0964 
"27003","06382","0508.18","Anoka MN","Blaine city, Anoka MN",7828,0.1115 
"27003","06382","0508.19","Anoka MN","Blaine city, Anoka MN",5574,0.0794 
"27003","06382","0508.20","Anoka MN","Blaine city, Anoka MN",3357,0.0478 
"27003","06382","0508.21","Anoka MN","Blaine city, Anoka MN",4885,0.0696 
"27003","06382","0508.22","Anoka MN","Blaine city, Anoka MN",2967,0.0423 
"27003","06382","0508.23","Anoka MN","Blaine city, Anoka MN",4137,0.0589 
"27003","06382","0508.24","Anoka MN","Blaine city, Anoka MN",4037,0.0575 
"27003","06382","0508.25","Anoka MN","Blaine city, Anoka MN",3148,0.0448 
"27003","06382","0508.26","Anoka MN","Blaine city, Anoka MN",3690,0.0525 
"27003","06382","0508.27","Anoka MN","Blaine city, Anoka MN",2509,0.0357 
"27003","06382","0508.28","Anoka MN","Blaine city, Anoka MN",3318,0.0473 
"27003","06382","0508.29","Anoka MN","Blaine city, Anoka MN",3754,0.0535 
"27003","10648","0502.32","Anoka MN","Centerville city, Anoka MN",3896,1 
