pct_num,pct_name,hodges13_votes,winton13_votes,samuels13_votes,andrew13_votes,hodges13_pct,winton13_pct,samuels13_pct,andrew13_pct,mayor_13_total,hodges17_votes,frey17_votes,levy17_votes,dehn17_votes,hoch17_votes,hodges17_pct,frey17_pct,levy17_pct,dehn17_pct,hoch17_pct,mayor_17_total,murphy18_votes,swanson18_votes,walz18_votes,murphy18_pct,swanson18_pct,walz18_pct,gov_18_total,hilstrom18_votes,ellison18_votes,pelikan18_votes,rothman18_votes,foley18_votes,hilstrom18_pct,ellison18_pct,pelikan18_pct,rothman18_pct,foley18_pct,ag_18_total,omar18_votes,kelliher18_votes,ray18_votes,omar18_pct,kelliher18_pct,ray18_pct,ush_18_total,sanders20_votes,warren20_votes,biden20_votes,bloomberg20_votes,sanders20_pct,warren20_pct,biden20_pct,bloomberg20_pct,pres_20_total,omar20_votes,omar20_pct,ush_20_total,frey21_votes,knuth21_votes,nezhad21_votes,frey21_pct,knuth21_pct,nezhad21_pct,mayor_21_total,yes1_votes,yes1_pct,structure_21_total,yes2_votes,yes2_pct,police_21_total,yes3_votes,yes3_pct,rent_21_total
1360,MINNEAPOLIS W-1 P-01,134.0,46.0,52.0,159.0,26.02,8.93,10.1,30.87,514.0,64.0,95.0,69.0,56.0,77.0,15.72,23.34,16.95,13.76,18.92,407.0,175.0,41.0,90.0,56.45,13.23,29.03,353.0,32.0,186.0,52.0,9.0,24.0,10.56,61.39,17.16,2.97,7.92,344.0,193.0,64.0,29.0,62.66,20.78,9.42,347.0,202,86,79,25,49.63,21.13,19.41,6.14,428,281,70.25,426,175,105,130,33.98,20.39,25.24,515,206,40.55,508,241,45.9,525,273,53.22,513
1365,MINNEAPOLIS W-1 P-02,282.0,99.0,76.0,235.0,31.69,11.12,8.54,26.4,890.0,186.0,316.0,193.0,191.0,298.0,14.31,24.31,14.85,14.69,22.92,1300.0,537.0,131.0,356.0,51.93,12.67,34.43,1145.0,136.0,582.0,137.0,70.0,79.0,13.55,57.97,13.65,6.97,7.87,1109.0,591.0,277.0,95.0,57.83,27.1,9.3,1110.0,612,396,318,46,42.92,27.77,22.3,3.23,1474,933,67.41,1495,764,372,363,41.7,20.31,19.81,1832,807,44.88,1798,827,44.99,1838,916,50.16,1826
1370,MINNEAPOLIS W-1 P-03,288.0,155.0,83.0,249.0,31.3,16.85,9.02,27.07,918.0,211.0,339.0,209.0,221.0,236.0,16.54,26.57,16.38,17.32,18.5,1276.0,516.0,110.0,401.0,49.76,10.61,38.67,1116.0,137.0,604.0,134.0,72.0,71.0,13.46,59.33,13.16,7.07,6.97,1092.0,634.0,255.0,99.0,61.85,24.88,9.66,1092.0,494,446,310,56,36.43,32.89,22.86,4.13,1380,903,67.54,1402,682,350,382,40.52,20.8,22.7,1683,797,47.61,1674,780,46.24,1687,882,52.66,1675
1375,MINNEAPOLIS W-1 P-04,275.0,90.0,91.0,204.0,34.63,11.34,11.46,25.69,793.0,177.0,283.0,162.0,250.0,205.0,15.47,24.74,14.16,21.85,17.92,1144.0,491.0,89.0,324.0,53.54,9.71,35.33,990.0,96.0,546.0,141.0,63.0,55.0,10.65,60.6,15.65,6.99,6.1,969.0,572.0,209.0,85.0,63.2,23.09,9.39,969.0,545,384,242,34,43.53,30.67,19.33,2.72,1269,818,67.16,1262,581,323,391,39.05,21.71,26.28,1488,656,44.44,1476,729,48.73,1496,809,54.66,1480
1380,MINNEAPOLIS W-1 P-05,234.0,65.0,79.0,190.0,32.87,9.13,11.1,26.69,712.0,160.0,265.0,135.0,147.0,197.0,16.88,27.95,14.24,15.51,20.78,948.0,333.0,95.0,310.0,44.52,12.7,41.44,818.0,102.0,408.0,110.0,62.0,50.0,13.93,55.74,15.03,8.47,6.83,796.0,402.0,240.0,58.0,54.4,32.48,7.85,790.0,398,267,246,42,39.6,26.57,24.48,4.18,1039,625,61.52,1068,598,223,262,45.86,17.1,20.09,1304,633,49.22,1286,522,39.88,1309,645,49.65,1299
1385,MINNEAPOLIS W-1 P-06,226.0,66.0,89.0,172.0,30.09,8.79,11.85,22.9,745.0,182.0,258.0,147.0,203.0,199.0,17.25,24.45,13.93,19.24,18.86,1055.0,478.0,124.0,251.0,54.63,14.17,28.69,948.0,120.0,510.0,133.0,48.0,42.0,14.07,59.79,15.59,5.63,4.92,923.0,582.0,160.0,68.0,66.36,18.24,7.75,935.0,631,327,188,49,51.26,26.56,15.27,3.98,1265,824,75.6,1142,421,289,427,30.73,21.09,31.17,1370,476,35.55,1339,798,58.81,1357,853,63.37,1346
1390,MINNEAPOLIS W-1 P-07,106.0,23.0,29.0,61.0,35.57,7.72,9.73,20.47,296.0,87.0,102.0,113.0,197.0,50.0,14.52,17.03,18.86,32.89,8.35,599.0,361.0,69.0,170.0,59.38,11.35,27.96,644.0,58.0,346.0,119.0,35.0,34.0,9.8,58.45,20.1,5.91,5.74,625.0,441.0,86.0,54.0,72.53,14.14,8.88,635.0,725,179,113,14,68.46,16.9,10.67,1.32,1081,646,81.16,830,210,171,388,22.95,18.69,42.4,915,259,28.52,908,629,68.22,922,658,71.44,921
1395,MINNEAPOLIS W-1 P-08,154.0,34.0,61.0,78.0,37.2,8.21,14.73,18.84,414.0,74.0,123.0,136.0,141.0,107.0,12.19,20.26,22.41,23.23,17.63,607.0,322.0,72.0,183.0,54.95,12.29,31.23,617.0,64.0,354.0,101.0,31.0,26.0,11.11,61.46,17.53,5.38,4.51,602.0,366.0,118.0,65.0,63.21,20.38,11.23,604.0,404,190,140,34,51.14,24.05,17.72,4.3,807,497,75.88,678,290,162,258,35.19,19.66,31.31,824,299,37.14,805,459,56.39,814,505,62.5,808
1400,MINNEAPOLIS W-1 P-09,180.0,50.0,87.0,171.0,29.27,8.13,14.15,27.8,613.0,144.0,233.0,172.0,250.0,194.0,13.74,22.23,16.41,23.86,18.51,1048.0,469.0,108.0,288.0,53.23,12.26,32.69,953.0,103.0,522.0,135.0,39.0,57.0,12.03,60.98,15.77,4.56,6.66,920.0,595.0,159.0,69.0,68.0,18.17,7.89,935.0,748,300,160,30,58.85,23.6,12.59,2.36,1305,903,75.56,1274,484,320,393,32.55,21.52,26.43,1487,552,38.33,1440,797,54.51,1462,933,63.73,1464
1405,MINNEAPOLIS W-1 P-10,,,,,,,,,,65.0,127.0,59.0,59.0,80.0,15.63,30.53,14.18,14.18,19.23,416.0,173.0,58.0,123.0,48.6,16.29,34.55,393.0,61.0,178.0,61.0,15.0,31.0,17.63,51.45,17.63,4.34,8.96,378.0,192.0,93.0,47.0,54.86,26.57,13.43,378.0,226,113,101,14,48.29,24.15,21.58,2.99,476,292,66.67,472,258,93,116,43.73,15.76,19.66,590,265,45.45,583,249,41.92,594,298,50.59,589
