pct_num,pct_name,omar22_votes,omar22_pct,ush_22_total,biden24_votes,uncommitted24_votes,phillips24_votes,biden24_pct,uncommitted24_pct,phillips24_pct,pres_24_total,omar24_votes,omar24_pct,ush_24_total,frey25_votes,fateh25_votes,davis25_votes,hampton25_votes,frey25_pct,fateh25_pct,davis25_pct,hampton25_pct,mayor_25_total
1360,MINNEAPOLIS W-1 P-01,164,55.59,317,88,54,11,55.7,34.18,6.96,188,198,64.71,315,253,153,106,59,42.88,25.93,17.97,10.0,590
1365,MINNEAPOLIS W-1 P-02,140,56.68,263,65,50,7,52.0,40.0,5.6,156,181,68.3,269,212,199,87,70,35.69,33.5,14.65,11.78,594
1370,MINNEAPOLIS W-1 P-03,166,72.17,245,36,63,3,34.62,60.58,2.88,121,212,77.66,275,163,316,88,51,25.79,50.0,13.92,8.07,632
1375,MINNEAPOLIS W-1 P-04,462,70.75,700,150,207,16,39.27,54.19,4.19,449,556,75.54,748,479,675,211,164,30.3,42.69,13.35,10.37,1581
1380,MINNEAPOLIS W-1 P-05,417,60.09,755,231,131,14,60.0,34.03,3.64,485,480,66.57,745,595,380,197,142,43.75,27.94,14.49,10.44,1360
1385,MINNEAPOLIS W-1 P-06,597,60.67,1041,272,171,33,56.2,35.33,6.82,591,665,67.38,999,771,446,301,212,43.17,24.97,16.85,11.87,1786
1390,MINNEAPOLIS W-1 P-07,652,61.51,1111,263,230,29,49.53,43.31,5.46,642,709,67.72,1061,761,512,333,180,41.68,28.04,18.24,9.86,1826
1395,MINNEAPOLIS W-1 P-08,280,65.88,442,110,106,9,47.01,45.3,3.85,275,314,74.76,424,314,334,131,74,36.09,38.39,15.06,8.51,870
1400,MINNEAPOLIS W-1 P-09,427,69.32,650,135,175,16,39.59,51.32,4.69,407,511,74.49,699,454,534,212,140,32.92,38.72,15.37,10.15,1379
1405,MINNEAPOLIS W-1 P-10,376,53.49,736,210,113,23,60.17,32.38,6.59,425,386,60.98,648,575,292,228,105,46.56,23.64,18.46,8.5,1235
1410,MINNEAPOLIS W-1 P-11,345,76.67,470,112,157,14,37.84,53.04,4.73,340,354,76.46,469,252,643,123,97,22.03,56.21,10.75,8.48,1144
1415,MINNEAPOLIS W-2 P-01,81,76.42,113,6,37,4,12.5,77.08,8.33,57,63,75.9,88,145,369,26,25,25.39,64.62,4.55,4.38,571
1420,MINNEAPOLIS W-2 P-02,96,85.71,117,11,38,7,18.97,65.52,12.07,61,56,71.79,78,83,299,20,21,19.26,69.37,4.64,4.87,431
1425,MINNEAPOLIS W-2 P-03,215,75.97,293,72,115,8,36.18,57.79,4.02,232,245,79.03,312,164,485,76,54,20.73,61.31,9.61,6.83,791
1430,MINNEAPOLIS W-2 P-04,24,75.0,33,2,15,0,11.76,88.24,0.0,22,15,93.75,18,53,304,16,12,13.38,76.77,4.04,3.03,396
1435,MINNEAPOLIS W-2 P-05,420,55.19,775,321,162,31,60.57,30.57,5.85,578,560,65.88,854,613,524,256,93,40.68,34.77,16.99,6.17,1507
1440,MINNEAPOLIS W-2 P-06,118,78.15,156,23,68,3,22.77,67.33,2.97,120,93,80.17,122,144,680,60,37,15.09,71.28,6.29,3.88,954
1445,MINNEAPOLIS W-2 P-07,70,53.85,140,48,56,7,39.34,45.9,5.74,140,106,72.6,148,92,285,36,26,20.26,62.78,7.93,5.73,454
1450,MINNEAPOLIS W-2 P-08,582,63.12,939,253,213,14,50.91,42.86,2.82,544,666,74.83,900,407,463,376,101,29.84,33.94,27.57,7.4,1364
1455,MINNEAPOLIS W-2 P-09,144,48.16,303,101,50,1,64.33,31.85,0.64,184,173,59.86,293,194,154,58,45,42.08,33.41,12.58,9.76,461
