pct_num,pct_name,hodges13_votes,winton13_votes,samuels13_votes,andrew13_votes,hodges13_pct,winton13_pct,samuels13_pct,andrew13_pct,hodges17_votes,frey17_votes,levy17_votes,dehn17_votes,hoch17_votes,hodges17_pct,frey17_pct,levy17_pct,dehn17_pct,hoch17_pct,murphy18_votes,swanson18_votes,walz18_votes,murphy18_pct,swanson18_pct,walz18_pct,hilstrom18_votes,ellison18_votes,pelikan18_votes,rothman18_votes,foley18_votes,hilstrom18_pct,ellison18_pct,pelikan18_pct,rothman18_pct,foley18_pct,omar18_votes,kelliher18_votes,ray18_votes,omar18_pct,kelliher18_pct,ray18_pct,sanders20_votes,warren20_votes,biden20_votes,bloomberg20_votes,sanders20_pct,warren20_pct,biden20_pct,bloomberg20_pct,omar20_votes,melton20_votes,omar20_pct,melton20_pct,frey21_votes,knuth21_votes,nezhad21_votes,frey21_pct,knuth21_pct,nezhad21_pct,yes1_votes,no1_votes,yes1_pct,no1_pct,yes2_votes,no2_votes,yes2_pct,no2_pct,yes3_votes,no3_votes,yes3_pct,no3_pct
1360,MINNEAPOLIS W-1 P-01,134.0,46.0,52.0,159.0,26.02,8.93,10.1,30.87,64.0,95.0,69.0,56.0,77.0,15.72,23.34,16.95,13.76,18.92,175.0,41.0,90.0,56.45,13.23,29.03,32.0,186.0,52.0,9.0,24.0,10.56,61.39,17.16,2.97,7.92,193.0,64.0,29.0,62.66,20.78,9.42,202,86,79,25,49.63,21.13,19.41,6.14,105,281,26.25,70.25,175,105,130,33.98,20.39,25.24,302,206,59.45,40.55,284,241,54.1,45.9,240,273,46.78,53.22
1365,MINNEAPOLIS W-1 P-02,282.0,99.0,76.0,235.0,31.69,11.12,8.54,26.4,186.0,316.0,193.0,191.0,298.0,14.31,24.31,14.85,14.69,22.92,537.0,131.0,356.0,51.93,12.67,34.43,136.0,582.0,137.0,70.0,79.0,13.55,57.97,13.65,6.97,7.87,591.0,277.0,95.0,57.83,27.1,9.3,612,396,318,46,42.92,27.77,22.3,3.23,407,933,29.41,67.41,764,372,363,41.7,20.31,19.81,991,807,55.12,44.88,1011,827,55.01,44.99,910,916,49.84,50.16
1370,MINNEAPOLIS W-1 P-03,288.0,155.0,83.0,249.0,31.3,16.85,9.02,27.07,211.0,339.0,209.0,221.0,236.0,16.54,26.57,16.38,17.32,18.5,516.0,110.0,401.0,49.76,10.61,38.67,137.0,604.0,134.0,72.0,71.0,13.46,59.33,13.16,7.07,6.97,634.0,255.0,99.0,61.85,24.88,9.66,494,446,310,56,36.43,32.89,22.86,4.13,387,903,28.95,67.54,682,350,382,40.52,20.8,22.7,877,797,52.39,47.61,907,780,53.76,46.24,793,882,47.34,52.66
1375,MINNEAPOLIS W-1 P-04,275.0,90.0,91.0,204.0,34.63,11.34,11.46,25.69,177.0,283.0,162.0,250.0,205.0,15.47,24.74,14.16,21.85,17.92,491.0,89.0,324.0,53.54,9.71,35.33,96.0,546.0,141.0,63.0,55.0,10.65,60.6,15.65,6.99,6.1,572.0,209.0,85.0,63.2,23.09,9.39,545,384,242,34,43.53,30.67,19.33,2.72,373,818,30.62,67.16,581,323,391,39.05,21.71,26.28,820,656,55.56,44.44,767,729,51.27,48.73,671,809,45.34,54.66
1380,MINNEAPOLIS W-1 P-05,234.0,65.0,79.0,190.0,32.87,9.13,11.1,26.69,160.0,265.0,135.0,147.0,197.0,16.88,27.95,14.24,15.51,20.78,333.0,95.0,310.0,44.52,12.7,41.44,102.0,408.0,110.0,62.0,50.0,13.93,55.74,15.03,8.47,6.83,402.0,240.0,58.0,54.4,32.48,7.85,398,267,246,42,39.6,26.57,24.48,4.18,358,625,35.24,61.52,598,223,262,45.86,17.1,20.09,653,633,50.78,49.22,787,522,60.12,39.88,654,645,50.35,49.65
1385,MINNEAPOLIS W-1 P-06,226.0,66.0,89.0,172.0,30.09,8.79,11.85,22.9,182.0,258.0,147.0,203.0,199.0,17.25,24.45,13.93,19.24,18.86,478.0,124.0,251.0,54.63,14.17,28.69,120.0,510.0,133.0,48.0,42.0,14.07,59.79,15.59,5.63,4.92,582.0,160.0,68.0,66.36,18.24,7.75,631,327,188,49,51.26,26.56,15.27,3.98,224,824,20.55,75.6,421,289,427,30.73,21.09,31.17,863,476,64.45,35.55,559,798,41.19,58.81,493,853,36.63,63.37
1390,MINNEAPOLIS W-1 P-07,106.0,23.0,29.0,61.0,35.57,7.72,9.73,20.47,87.0,102.0,113.0,197.0,50.0,14.52,17.03,18.86,32.89,8.35,361.0,69.0,170.0,59.38,11.35,27.96,58.0,346.0,119.0,35.0,34.0,9.8,58.45,20.1,5.91,5.74,441.0,86.0,54.0,72.53,14.14,8.88,725,179,113,14,68.46,16.9,10.67,1.32,136,646,17.09,81.16,210,171,388,22.95,18.69,42.4,649,259,71.48,28.52,293,629,31.78,68.22,263,658,28.56,71.44
1395,MINNEAPOLIS W-1 P-08,154.0,34.0,61.0,78.0,37.2,8.21,14.73,18.84,74.0,123.0,136.0,141.0,107.0,12.19,20.26,22.41,23.23,17.63,322.0,72.0,183.0,54.95,12.29,31.23,64.0,354.0,101.0,31.0,26.0,11.11,61.46,17.53,5.38,4.51,366.0,118.0,65.0,63.21,20.38,11.23,404,190,140,34,51.14,24.05,17.72,4.3,138,497,21.07,75.88,290,162,258,35.19,19.66,31.31,506,299,62.86,37.14,355,459,43.61,56.39,303,505,37.5,62.5
1400,MINNEAPOLIS W-1 P-09,180.0,50.0,87.0,171.0,29.27,8.13,14.15,27.8,144.0,233.0,172.0,250.0,194.0,13.74,22.23,16.41,23.86,18.51,469.0,108.0,288.0,53.23,12.26,32.69,103.0,522.0,135.0,39.0,57.0,12.03,60.98,15.77,4.56,6.66,595.0,159.0,69.0,68.0,18.17,7.89,748,300,160,30,58.85,23.6,12.59,2.36,258,903,21.59,75.56,484,320,393,32.55,21.52,26.43,888,552,61.67,38.33,665,797,45.49,54.51,531,933,36.27,63.73
1405,MINNEAPOLIS W-1 P-10,,,,,,,,,65.0,127.0,59.0,59.0,80.0,15.63,30.53,14.18,14.18,19.23,173.0,58.0,123.0,48.6,16.29,34.55,61.0,178.0,61.0,15.0,31.0,17.63,51.45,17.63,4.34,8.96,192.0,93.0,47.0,54.86,26.57,13.43,226,113,101,14,48.29,24.15,21.58,2.99,133,292,30.37,66.67,258,93,116,43.73,15.76,19.66,318,265,54.55,45.45,345,249,58.08,41.92,291,298,49.41,50.59
1410,MINNEAPOLIS W-2 P-01,471.0,65.0,116.0,189.0,45.03,6.21,11.09,18.07,142.0,104.0,131.0,168.0,77.0,21.42,15.69,19.76,25.34,11.61,323.0,87.0,185.0,53.57,14.43,30.68,56.0,383.0,89.0,32.0,27.0,9.54,65.25,15.16,5.45,4.6,333.0,92.0,138.0,55.59,15.36,23.04,362,239,109,31,46.89,30.96,14.12,4.02,176,562,22.89,73.08,260,226,307,28.23,24.54,33.33,572,339,62.79,37.21,381,543,41.23,58.77,298,617,32.57,67.43
