STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,NAM,race_total,race_white,race_black,race_aian,race_asian,race_nhpi,race_other,race_two_plus,hisp_total,hisp_not_hisp,hisp_nh_white,hisp_nh_black,hisp_nh_aian,hisp_nh_asian,hisp_nh_nhpi,hisp_nh_other,hisp_nh_two_plus,hisp_latino,hisp_lat_white,hisp_lat_black,commute_total,commute_drove_alone,commute_carpool,commute_transit,commute_bus,commute_subway,commute_rail,commute_light_rail,commute_taxi,commute_bike,commute_walk,commute_other,commute_wfh,hh_total,hh_family,hh_married,hh_other_family,hh_male_no_spouse,hh_female_no_spouse,hh_nonfamily,hh_living_alone,hh_not_alone,school_total,school_enrolled,school_preschool,school_kindergarten,school_g1_4,school_g5_8,school_g9_12,school_undergrad,school_grad,school_not_enrolled,educ_total,educ_no_school,educ_less_9th,educ_9th_12th,educ_hs_diploma,educ_ged,educ_some_college,educ_some_college_1yr,educ_associates,educ_bachelors,educ_masters,educ_professional,educ_doctorate,lang_total,lang_english_only,lang_spanish,lang_spanish_limited,lang_spanish_not_limited,lang_other_ie,lang_other_ie_limited,lang_asian_pi,lang_asian_pi_limited,lang_other,lang_other_limited,med_hh_income,employ_total,employ_in_lf,employ_civilian_lf,employ_employed,employ_unemployed,employ_armed_forces,employ_not_in_lf,tenure_total,tenure_owner,tenure_renter,units_total,units_1_detached,units_1_attached,units_2,units_3_4,units_5_9,units_10_19,units_20_49,units_50_plus,units_mobile,units_boat_rv,yrbuilt_total,yrbuilt_2020_later,yrbuilt_2010_2019,yrbuilt_2000_2009,yrbuilt_1990_1999,yrbuilt_1980_1989,yrbuilt_1970_1979,yrbuilt_1960_1969,yrbuilt_1950_1959,yrbuilt_1940_1949,yrbuilt_1939_earlier,moved_total,moved_owner,moved_owner_2021_later,moved_owner_2018_2020,moved_owner_2010_2017,moved_owner_2000_2009,moved_owner_1990_1999,moved_owner_1989_earlier,moved_renter,moved_renter_2021_later,moved_renter_2018_2020,moved_renter_2010_2017,moved_renter_2000_2009,moved_renter_1990_1999,moved_renter_1989_earlier,med_gross_rent,rent_burden_total,rent_burden_lt10,rent_burden_10_14,rent_burden_15_19,rent_burden_20_24,rent_burden_25_29,rent_burden_30_34,rent_burden_35_39,rent_burden_40_49,rent_burden_50_plus,rent_burden_not_computed,hh_rel_total,hh_rel_in_hh,hh_rel_householder,hh_rel_spouse_opp,hh_rel_spouse_same,hh_rel_partner_opp,hh_rel_partner_same,hh_rel_child,hh_rel_grandchild,hh_rel_sibling,hh_rel_parent,hh_rel_in_gq,pct_white,pct_black,pct_asian,pct_hispanic,pct_other_race,pct_bachelors_plus,pct_hs_or_less,pct_higher_ed,pct_english_only,pct_owner_occupied,pct_renter_occupied,pct_drive_alone,pct_transit,pct_wfh,pct_bike_walk,unemployment_rate,labor_force_participation,pct_rent_burdened,pct_built_pre1940,pct_built_post2000,pct_multifamily,pct_moved_pre2000,pct_moved_2000_2009,pct_moved_2010_2020,pct_moved_2021_later,pct_same_sex_hh
27,053,104002,27053104002,1400000US27053104002,1040.02,Census Tract 1040.02,G5020,S,3842533,0,+44.9950420,-093.2223976,Census Tract 1040.02; Hennepin County; Minnesota,4452,2800,113,37,701,0,321,480,4452,4038,2765,107,24,701,0,42,399,414,35,6,3558,2060,113,517,517,0,0,0,0,121,77,8,662,1601,392,323,69,18,51,1209,238,971,4405,2079,0,17,11,0,15,1007,915,2326,2370,0,0,20,141,15,99,162,41,976,393,82,441,1601,1127,63,0,63,120,19,263,30,28,0,97628,4345,3752,3752,3604,148,0,593,1601,268,1333,1683,502,82,241,36,246,365,103,108,0,0,1683,22,30,106,318,116,311,161,16,31,572,1601,268,61,10,43,20,70,64,1333,328,806,174,25,0,0,1397,1333,24,423,214,99,102,197,64,104,106,0,4452,4452,1601,276,32,78,28,196,0,9,9,0,62.106918238993714,2.403414195867026,15.745732255166217,9.299191374663073,10.444743935309972,79.83122362869199,6.582278481012659,43.6322360953462,70.39350405996252,16.739537788881947,83.26046221111805,57.89769533445755,14.53063518830804,18.605958403597526,5.564924114671164,3.9445628997867805,86.35212888377445,35.33383345836459,33.98692810457516,9.38799762329174,65.30005941770648,8.369768894440973,2.8107432854465957,64.52217364147408,24.297314178638352,1.3477088948787064
27,053,003801,27053003801,1400000US27053003801,38.01,Census Tract 38.01,G5020,S,543327,75618,+44.9845732,-093.2444106,Census Tract 38.01; Hennepin County; Minnesota,2731,1754,218,0,401,0,48,310,2731,2351,1654,218,0,401,0,34,44,380,100,0,2317,1193,48,317,317,0,0,0,0,91,154,0,514,1488,229,172,57,42,15,1259,814,445,2637,730,0,0,0,0,0,617,113,1907,1632,0,0,13,134,0,92,163,164,534,216,37,25,1488,832,276,230,46,94,0,212,0,74,0,42361,2637,2392,2392,2350,42,0,245,1488,32,1456,1718,46,27,81,221,193,401,320,429,0,0,1718,0,186,321,170,409,74,170,129,11,248,1488,32,0,0,32,0,0,0,1456,506,792,125,21,12,0,1127,1456,33,201,92,129,183,52,369,58,339,0,2731,2713,1488,163,12,199,0,94,0,35,25,18,60.563896008787985,7.982424020505309,14.683266202856096,13.914317099963384,2.856096667887221,49.754901960784316,8.21078431372549,27.682973075464545,55.91397849462365,2.1505376344086025,97.84946236559139,51.48899438929651,13.68148467846353,22.183858437634875,10.574018126888216,1.7558528428093645,90.709139173303,56.18131868131868,14.435389988358557,29.511059371362048,95.75087310826542,0.8064516129032258,1.411290322580645,63.77688172043011,34.00537634408602,0.44231478068558794
27,053,003802,27053003802,1400000US27053003802,38.02,Census Tract 38.02,G5020,S,304569,4513,+44.9838887,-093.2394459,Census Tract 38.02; Hennepin County; Minnesota,3895,2917,244,0,218,0,205,311,3895,3499,2846,244,0,218,0,16,175,396,71,0,2335,977,89,343,343,0,0,0,0,0,499,0,427,958,130,19,111,47,64,828,199,629,3790,3109,0,0,19,0,0,2945,140,681,311,0,0,0,68,22,0,7,0,146,32,0,36,958,684,83,0,83,25,0,36,22,130,0,34931,3771,2502,2502,2405,97,0,1269,958,12,946,1126,41,33,92,59,117,145,106,533,0,0,1126,24,494,51,29,79,64,138,0,0,247,958,12,0,0,0,12,0,0,946,509,338,99,0,0,0,1090,946,23,75,48,122,62,50,12,86,457,11,3895,3119,958,17,0,65,26,124,0,48,0,776,73.06803594351733,6.2644415917843395,5.596919127086008,10.166880616174582,4.903722721437741,68.81028938906752,28.938906752411576,81.39841688654353,71.39874739039665,1.2526096033402923,98.74739039665971,41.84154175588865,14.68950749464668,18.286937901498927,21.370449678800856,3.8768984812150276,66.34844868735084,64.70588235294117,21.936056838365896,50.53285968028419,93.42806394316163,0,1.2526096033402923,45.61586638830898,53.13152400835073,0.8336005129849311
27,053,126202,27053126202,1400000US27053126202,1262.02,Census Tract 1262.02,G5020,S,691365,74635,+44.9887016,-093.2721967,Census Tract 1262.02; Hennepin County; Minnesota,4494,3697,49,0,396,0,44,308,4494,4079,3414,49,0,396,0,0,220,415,283,0,3550,1566,110,73,73,0,0,0,0,35,578,0,1188,3170,636,548,88,34,54,2534,2046,488,4400,488,11,11,39,0,0,123,200,3912,3925,0,0,0,313,0,60,160,65,1554,950,527,296,3170,2759,214,0,214,149,0,48,0,0,0,134575,4235,3718,3718,3664,54,0,517,3170,967,2203,3299,259,116,0,0,0,199,616,2109,0,0,3299,244,1302,491,295,109,14,0,22,16,806,3170,967,76,141,219,288,24,219,2203,896,858,403,46,0,0,2171,2203,103,229,610,391,323,155,46,134,208,4,4494,4494,3170,502,28,213,44,279,0,12,0,0,75.9679572763685,1.0903426791277258,8.811748998664887,9.234534935469515,4.895416110369381,84.76433121019107,7.97452229299363,7.340909090909091,87.03470031545741,30.504731861198735,69.49526813880126,44.11267605633803,2.056338028169014,33.46478873239437,17.267605633802816,1.4523937600860677,87.79220779220779,24.69304229195089,24.431645953319187,61.745983631403455,88.63291906638375,7.665615141955836,10.53627760252366,51.135646687697154,30.662460567823345,1.602136181575434
27,053,126102,27053126102,1400000US27053126102,1261.02,Census Tract 1261.02,G5020,S,1637765,98597,+44.9780582,-093.2610717,Census Tract 1261.02; Hennepin County; Minnesota,7232,4647,1197,118,573,14,349,334,7232,6849,4573,1182,118,559,14,109,294,383,74,15,4547,1766,34,140,54,0,0,86,0,68,1217,42,1280,3878,1074,1025,49,18,31,2804,2161,643,6922,1013,47,39,29,8,21,385,301,5909,5932,0,0,29,398,175,241,285,251,2473,1030,776,91,3878,3289,178,34,144,223,22,133,0,55,0,123452,6605,4772,4772,4619,153,0,1833,3878,1080,2798,4214,80,43,49,0,0,88,505,3449,0,0,4214,68,2122,618,104,333,145,176,109,0,539,3878,1080,132,440,411,71,26,0,2798,996,1109,556,62,75,0,1920,2798,220,421,145,653,288,444,76,245,220,86,7232,5964,3878,950,60,479,51,293,0,15,0,1268,63.23285398230089,16.344026548672566,7.729535398230089,5.295907079646018,7.397676991150442,73.66824005394471,9.659474039109913,9.910430511412887,84.81175863847345,27.84940691077875,72.15059308922125,38.83879480976468,3.078953155926985,28.150428854189574,28.260391466901254,3.206202849958089,72.24829674489024,36.32005899705015,12.790697674418606,66.63502610346464,97.08115804461319,2.6044352759154203,3.429602888086643,64.87880350696236,29.087158329035585,1.8611670020120725
27,053,126101,27053126101,1400000US27053126101,1261.01,Census Tract 1261.01,G5020,S,293673,71788,+44.9817800,-093.2635472,Census Tract 1261.01; Hennepin County; Minnesota,2557,1993,74,0,344,0,29,117,2557,2443,1926,74,0,344,0,16,83,114,67,0,1736,474,0,59,48,0,0,11,0,12,440,21,730,2042,342,342,0,0,0,1700,1654,46,2463,167,0,15,0,0,0,24,109,2296,2289,8,0,0,100,0,89,164,136,847,716,139,80,2042,1737,73,0,73,175,20,57,0,0,0,83750,2429,1870,1870,1836,34,0,559,2042,765,1277,2256,28,0,0,0,25,0,119,2084,0,0,2256,0,197,250,62,786,453,443,49,0,16,2042,765,58,120,270,205,72,40,1277,355,578,307,37,0,0,1689,1277,75,58,273,139,140,230,115,91,146,10,2557,2557,2042,346,0,41,0,128,0,0,0,0,75.32264372311303,2.894016425498631,13.453265545561205,4.458349628470865,3.871724677356277,77.85058977719528,4.718217562254259,5.399918798213561,85.06366307541626,37.46327130264447,62.536728697355535,27.30414746543779,3.398617511520737,42.05069124423963,26.036866359447004,1.8181818181818181,76.98641416220667,45.935280189423835,0.7092198581560284,19.81382978723404,98.75886524822694,5.484818805093046,11.851126346718903,62.43878550440745,20.225269343780607,0
27,053,104001,27053104001,1400000US27053104001,1040.01,Census Tract 1040.01,G5020,S,1748428,6941,+44.9818926,-093.2196058,Census Tract 1040.01; Hennepin County; Minnesota,2696,2003,72,8,126,0,68,419,2696,2272,2003,63,0,126,0,0,80,424,0,9,1957,1119,188,260,260,0,0,0,0,95,128,0,167,846,184,141,43,11,32,662,145,517,2579,1693,117,0,0,0,0,1458,106,886,691,0,0,32,41,27,12,15,0,412,52,4,54,846,620,37,0,37,105,0,34,0,50,32,61786,2462,1994,1994,1964,30,0,468,846,206,640,975,521,33,64,38,0,132,82,105,0,0,975,0,191,70,58,19,96,104,59,0,378,846,206,89,23,0,25,25,44,640,217,382,41,0,0,0,1881,640,0,88,17,121,20,52,0,56,286,0,2696,2696,846,155,0,56,0,267,0,11,31,0,74.29525222551929,2.336795252225519,4.673590504451038,15.727002967359049,2.967359050445104,75.54269175108539,9.84081041968162,60.64366033346258,73.28605200945626,24.349881796690305,75.65011820330969,57.17935615738375,13.285641287685232,8.533469596320899,11.394992335206949,1.5045135406218655,80.9910641754671,61.5625,38.76923076923077,26.769230769230766,43.17948717948718,8.156028368794328,2.955082742316785,52.71867612293144,36.17021276595745,0
27,053,104902,27053104902,1400000US27053104902,1049.02,Census Tract 1049.02,G5020,S,719993,31107,+44.9693711,-093.2218205,Census Tract 1049.02; Hennepin County; Minnesota,4411,2124,871,0,1028,52,66,270,4411,4249,2103,871,0,1028,3,26,218,162,21,0,2377,934,109,206,87,0,0,119,18,109,519,0,482,1975,448,159,289,125,164,1527,851,676,4369,2636,0,0,82,0,0,1694,693,1733,1704,49,0,20,157,73,10,131,54,720,238,38,84,1975,1175,76,0,76,110,0,420,89,194,0,33775,4095,2727,2727,2516,211,0,1368,1975,147,1828,2265,84,197,70,32,82,201,203,1396,0,0,2265,18,856,588,200,162,217,86,0,13,125,1975,147,17,15,89,13,0,13,1828,705,792,203,107,0,21,1288,1828,23,117,62,129,237,149,174,145,677,115,4411,4286,1975,168,0,116,17,599,0,112,0,125,47.67626388574019,19.74608932214917,23.305372931308092,3.6726365903423255,5.599637270460213,63.38028169014085,16.37323943661972,54.634927901121536,59.49367088607595,7.443037974683545,92.55696202531645,39.29322675641565,8.666386201093816,20.27766091712242,26.419856962557848,7.737440410707737,66.59340659340658,66.84179801517806,5.518763796909492,64.54746136865343,87.59381898454747,1.7215189873417722,6.075949367088607,55.64556962025316,36.55696202531646,0.39664022398506765
27,053,104801,27053104801,1400000US27053104801,1048.01,Census Tract 1048.01,G5020,S,292925,0,+44.9688935,-093.2501715,Census Tract 1048.01; Hennepin County; Minnesota,4882,322,4400,20,0,0,0,140,4882,4882,322,4400,20,0,0,0,140,0,0,0,1562,897,0,47,26,0,0,21,0,0,233,148,237,2182,971,260,711,185,526,1211,965,246,4454,1341,0,240,127,61,0,350,0,3113,2765,648,0,214,681,171,0,261,27,280,0,0,0,2182,344,0,0,0,0,0,0,0,1838,890,21589,3358,1945,1945,1589,356,0,1413,2182,0,2182,2294,0,112,101,0,64,376,85,1556,0,0,2294,34,285,0,84,162,940,628,38,20,103,2182,0,0,0,0,0,0,0,2182,220,525,1049,254,134,0,754,2182,124,146,51,301,187,394,354,143,448,34,4882,4872,2182,267,0,0,0,1778,53,118,70,10,6.5956575174108965,90.12699713232281,0,0,3.2773453502662844,10.126582278481013,54.249547920434,7.858105074090704,15.765352887259395,0,100,57.42637644046095,3.0089628681177976,15.172855313700385,14.916773367477592,18.303341902313626,57.921381774865985,62.337057728119184,4.489973844812554,13.905841325196164,95.1176983435048,6.14115490375802,11.640696608615949,72.13565536205316,10.082493125572869,0
27,053,104901,27053104901,1400000US27053104901,1049.01,Census Tract 1049.01,G5020,S,1329845,167589,+44.9753223,-093.2327148,Census Tract 1049.01; Hennepin County; Minnesota,7354,5192,217,0,1198,0,76,671,7354,6886,5004,217,0,1198,0,0,467,468,188,0,2552,664,314,211,88,44,0,79,0,5,910,0,448,726,151,31,120,0,120,575,245,330,7354,6973,0,0,0,0,0,6740,210,381,452,0,0,0,65,52,13,5,74,153,11,0,21,726,456,44,0,44,5,0,221,59,0,0,21489,7354,3437,3437,3012,425,0,3917,726,0,726,780,60,58,0,0,0,5,24,633,0,0,780,0,524,48,53,33,0,11,89,0,22,726,0,0,0,0,0,0,0,726,269,392,65,0,0,0,1559,726,0,68,4,0,72,5,10,78,354,135,7354,1637,726,21,0,10,0,64,0,61,0,5717,68.04460157737286,2.950775088387272,16.29045417459886,6.36388360076149,6.350285558879522,40.929203539823014,25.88495575221239,94.50639107968453,62.8099173553719,0,100,26.01880877742947,8.268025078369906,17.55485893416928,35.85423197492163,12.365434972359617,46.73646994832744,75.63451776649747,2.8205128205128207,73.33333333333333,84.87179487179488,0,0,62.94765840220386,37.05234159779614,0
27,053,126201,27053126201,1400000US27053126201,1262.01,Census Tract 1262.01,G5020,S,1460890,0,+44.9839856,-093.2827250,Census Tract 1262.01; Hennepin County; Minnesota,3139,2053,551,67,253,0,45,170,3139,2924,1997,551,51,253,0,22,50,215,56,0,2239,957,108,184,80,16,0,88,0,15,417,59,499,1644,238,223,15,0,15,1406,1072,334,3089,566,108,9,0,8,6,81,147,2523,2429,0,0,24,245,23,120,328,31,762,460,280,96,1644,1328,115,13,102,0,0,173,0,28,0,113462,2766,2336,2336,2252,84,0,430,1644,228,1416,1834,84,0,28,15,28,31,318,1315,0,15,1834,45,713,479,42,0,0,0,88,124,343,1644,228,16,76,65,57,14,0,1416,364,619,401,32,0,0,2053,1416,168,112,198,329,87,228,60,0,204,30,3139,2382,1644,253,16,186,14,76,0,0,0,757,63.618986938515455,17.55336094297547,8.05989168525008,6.8493150684931505,3.918445364765849,65.78839028406752,11.033347056401812,7.381029459371965,80.7785888077859,13.86861313868613,86.13138686131386,42.742295667708795,8.21795444394819,22.286735149620366,19.29432782492184,3.595890410958904,84.45408532176428,35.4978354978355,18.702290076335878,67.44820065430753,94.60196292257362,0.851581508515815,5.413625304136254,70.62043795620438,23.114355231143552,1.2594458438287155
