GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,CNECTA,NECTADIV,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,NAME,BTTRA,TL_GEO_ID,AS3VE001,AS3VE002,AS3VE003,AS3VE004,AS3VE005,AS3VE006,AS3VE007,AS3VE008,AS3VE009,AS3VE010,AS3VE011,AS3VE012,AS3VE013,AS3VE014,AS3VE015,AS3VE016,AS3VE017,AS3VE018,AS3VE019,AS3VE020,AS3VE021,AS3VE022,AS3VE023,AS3VE024,AS3VE025,AS3VE026
GIS Join Match Code,Data File Year,State Postal Abbreviation,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Consolidated City Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only) Code,American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land Code,American Indian/Hawaiian Home Land Trust Land Indicator,Tribal Subdivision/Remainder Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Micropolitan Statistical Area Code,Combined Statistical Area Code,Metropolitan Division Code,New England City and Town Combined Statistical Area,New England City and Town Area Division,Urban Area Code,"Congressional District (2023-2025, 118th Congress) Code",State Legislative District (Upper Chamber) Code,State Legislative District (Lower Chamber) Code,5-Digit ZIP Code Tabulation Area Code,Subminor Civil Division Code,School District (Elementary)/Remainder Code,School District (Secondary)/Remainder Code,School District (Unified)/Remainder Code,Principal City Indicator,Public Use Microdata Area Code,Census Geographic Area Identifier,Area Name,Tribal Census Tract Code,TIGER/Line Shapefile Geographic Area Identifier,Total,In households,In households: Householder,In households: Householder: Male,In households: Householder: Male: Living alone,In households: Householder: Male: Not living alone,In households: Householder: Female,In households: Householder: Female: Living alone,In households: Householder: Female: Not living alone,In households: Opposite-sex spouse,In households: Same-sex spouse,In households: Opposite-sex unmarried partner,In households: Same-sex unmarried partner,In households: Child,In households: Child: Biological child,In households: Child: Adopted child,In households: Child: Stepchild,In households: Grandchild,In households: Brother or sister,In households: Parent,In households: Parent-in-law,In households: Son-in-law or daughter-in-law,In households: Other relatives,In households: Foster child,In households: Other nonrelatives,In group quarters
"G2700010770100","2019-2023","MN",,,"Minnesota","27","Aitkin County","001",,,"770100",,,,,,,,,,,".",".",,,,,,,,,,,,"1400000US27001770100","Census Tract 7701, Aitkin County, Minnesota",,"27001770100",2428,2421,1074,627,172,455,447,115,332,609,6,83,2,436,392,16,28,36,42,6,6,4,13,4,100,7
"G2700010770200","2019-2023","MN",,,"Minnesota","27","Aitkin County","001",,,"770200",,,,,,,,,,,".",".",,,,,,,,,,,,"1400000US27001770200","Census Tract 7702, Aitkin County, Minnesota",,"27001770200",2224,2217,1000,508,174,334,492,151,341,491,0,55,4,455,423,16,16,25,2,13,0,2,69,0,101,7
"G2700010770300","2019-2023","MN",,,"Minnesota","27","Aitkin County","001",,,"770300",,,,,,,,,,,".",".",,,,,,,,,,,,"1400000US27001770300","Census Tract 7703, Aitkin County, Minnesota",,"27001770300",3351,3121,1311,566,211,355,745,288,457,561,9,72,1,959,855,51,53,31,31,56,12,8,16,16,38,230
"G2700010770401","2019-2023","MN",,,"Minnesota","27","Aitkin County","001",,,"770401",,,,,,,,,,,".",".",,,,,,,,,,,,"1400000US27001770401","Census Tract 7704.01, Aitkin County, Minnesota",,"27001770401",1352,1352,615,296,106,190,319,84,235,359,3,22,0,285,278,3,4,35,4,7,0,7,2,0,13,0
"G2700010770402","2019-2023","MN",,,"Minnesota","27","Aitkin County","001",,,"770402",,,,,,,,,,,".",".",,,,,,,,,,,,"1400000US27001770402","Census Tract 7704.02, Aitkin County, Minnesota",,"27001770402",1637,1637,670,353,133,220,317,90,227,270,2,56,0,382,350,16,16,80,46,53,6,0,2,2,68,0
"G2700010790501","2019-2023","MN",,,"Minnesota","27","Aitkin County","001",,,"790501",,,,,,,,,,,".",".",,,,,,,,,,,,"1400000US27001790501","Census Tract 7905.01, Aitkin County, Minnesota",,"27001790501",1872,1872,911,582,282,300,329,93,236,420,0,58,9,338,324,5,9,23,5,25,5,32,7,0,39,0
"G2700010790503","2019-2023","MN",,,"Minnesota","27","Aitkin County","001",,,"790503",,,,,,,,,,,".",".",,,,,,,,,,,,"1400000US27001790503","Census Tract 7905.03, Aitkin County, Minnesota",,"27001790503",1652,1646,758,399,132,267,359,103,256,414,4,52,0,293,281,9,3,27,36,6,0,7,14,0,35,6
"G2700010790504","2019-2023","MN",,,"Minnesota","27","Aitkin County","001",,,"790504",,,,,,,,,,,".",".",,,,,,,,,,,,"1400000US27001790504","Census Tract 7905.04, Aitkin County, Minnesota",,"27001790504",1414,1408,596,323,82,241,273,78,195,371,2,37,0,329,310,7,12,13,2,6,3,0,9,0,40,6
"G2700030050107","2019-2023","MN",,,"Minnesota","27","Anoka County","003",,,"050107",,,,,,,,,,,".",".",,,,,,,,,,,,"1400000US27003050107","Census Tract 501.07, Anoka County, Minnesota",,"27003050107",3146,3146,1064,628,90,538,436,80,356,502,7,172,0,1127,1100,18,9,75,3,14,0,0,0,0,182,0
